Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
C,Chinanu Onuaku,3000,NY@Hou 08:00PM ET,13.250,Hou,1,0,13.250,0.000,13.250,13.250,21.500,18.000,0.159,0.000,224.500
PG/SG,Leandro Barbosa,3000,Pho@Uta 08:00PM ET,10.680,Pho,0,0,14.214,4.721,7.750,5.000,3.500,18.000,0.184,11.500,207.500
PG,Raul Neto,3000,Pho@Uta 08:00PM ET,4.721,Uta,1,0,5.286,1.159,5.375,0.000,25.500,18.000,0.022,0.000,207.500
PG,Dante Exum,3000,Pho@Uta 08:00PM ET,12.446,Uta,1,0,13.643,6.682,10.188,6.750,25.500,18.000,0.172,0.000,207.500
PG,Tyler Ulis,3000,Pho@Uta 08:00PM ET,7.863,Pho,0,0,9.000,3.768,5.438,16.500,6.000,18.000,0.107,11.500,207.500
SG,John Jenkins,3000,Pho@Uta 08:00PM ET,2.563,Pho,0,0,3.375,0.000,2.562,3.500,1.000,18.000,0.025,11.500,207.500
SG,Alec Burks,3000,Pho@Uta 08:00PM ET,0.000,Uta,1,0,0.000,0.000,0.000,0.000,15.000,18.000,,0.000,207.500
SF,Derrick Jones Jr.,3000,Pho@Uta 08:00PM ET,1.500,Pho,0,0,0.000,0.000,1.500,3.000,1.000,18.000,0.081,11.500,207.500
PF/C,Boris Diaw,3000,Pho@Uta 08:00PM ET,11.396,Uta,1,0,10.893,6.200,11.688,3.000,22.500,18.000,0.199,0.000,207.500
PF,Joel Bolomboy,3000,Pho@Uta 08:00PM ET,2.833,Uta,1,0,1.938,1.050,2.812,3.500,21.000,18.000,0.004,0.000,207.500
C,Jeff Withey,3000,Pho@Uta 08:00PM ET,7.948,Uta,1,0,8.179,3.875,8.438,0.000,24.000,18.000,0.041,0.000,207.500
C,Alan Williams,3000,Pho@Uta 08:00PM ET,9.768,Pho,0,0,16.429,3.659,4.375,0.000,2.000,18.000,0.275,11.500,207.500
