Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
PG/SG,Sean Kilpatrick,4300,NY@Bkn 07:30PM ET,24.234,Bkn,1,0,20.214,15.600,17.812,14.750,19.500,25.800,0.444,2.500,223.500,7.672,20.959,23.441,9.750
SG,Courtney Lee,4300,NY@Bkn 07:30PM ET,19.839,NY,0,0,24.714,13.989,32.500,38.250,30.000,25.800,0.227,-2.500,223.500,7.672,27.713,23.163,19.000
SF,C.J. Miles,4300,Ind@Orl 07:00PM ET,17.951,Ind,0,0,17.464,11.012,16.938,2.000,25.000,25.800,0.176,-2.000,212.500,-8.433,16.841,18.378,23.000
SF,Andre Iguodala,4200,Cha@GS 10:30PM ET,18.511,GS,1,0,20.357,13.542,24.812,28.750,22.000,25.200,0.143,-15.000,224.000,8.025,23.143,22.928,16.750
SG/SF,Bojan Bogdanovic,4200,NY@Bkn 07:30PM ET,21.927,Bkn,1,0,21.071,15.452,23.125,24.000,20.000,25.200,0.352,2.500,223.500,7.672,23.295,23.312,22.750
PG/SG,Tim Hardaway Jr.,4200,Atl@Mia 07:30PM ET,19.663,Atl,0,0,24.286,12.240,24.688,38.750,5.000,25.200,0.287,1.000,205.000,-9005.379,21.271,16.462,19.000
SG/SF,Josh Richardson,4200,Atl@Mia 07:30PM ET,22.473,Mia,1,1,22.643,15.467,23.500,9.750,26.000,25.200,0.393,-1.000,205.000,-15.406,23.403,21.875,0.000
SF/PF,P.J. Tucker,4200,LAC@Pho 09:00PM ET,19.047,Pho,1,0,23.857,10.909,25.000,16.000,15.000,25.200,0.259,2.500,219.500,4.850,22.740,22.131,37.000
SG/SF,Terrence Ross,4100,Tor@Bos 07:30PM ET,18.083,Tor,0,0,18.929,13.009,20.438,27.250,12.250,24.600,0.210,6.000,215.000,-2.325,19.336,18.153,18.500
PF,JaMychal Green,4100,Mem@Den 09:00PM ET,22.724,Mem,0,0,20.071,16.394,20.250,21.500,5.000,24.600,0.411,-3.500,214.500,-8998.677,19.755,18.850,19.500
PG,Rajon Rondo,4100,Chi@OKC 09:30PM ET,25.763,Chi,0,0,16.000,16.957,22.250,31.750,21.000,24.600,0.537,3.500,206.500,-4.321,22.502,24.919,9.500
PG/SG,Iman Shumpert,4100,Min@Cle 07:00PM ET,16.739,Cle,1,0,20.393,11.610,20.562,13.500,12.500,24.600,0.127,-6.500,215.500,2.028,18.769,17.075,28.250
SG,Rodney Hood,4100,Mil@Uta 09:00PM ET,23.391,Uta,1,0,26.286,14.903,26.000,30.500,16.000,24.600,0.450,-7.500,198.000,-10.317,24.104,22.394,4.250
SG/SF,Jaylen Brown,4000,Tor@Bos 07:30PM ET,10.346,Bos,1,0,14.357,5.295,18.875,11.250,5.500,24.000,0.048,-6.000,215.000,1.675,15.458,13.772,11.250
PG,Shaun Livingston,4000,Cha@GS 10:30PM ET,11.446,GS,1,0,13.429,8.152,14.688,12.750,14.500,24.000,0.003,-15.000,224.000,8.025,12.984,11.950,0.000
PF,Frank Kaminsky,4000,Cha@GS 10:30PM ET,20.447,Cha,0,0,14.250,14.520,16.125,25.000,10.000,24.000,0.344,15.000,224.000,4.025,17.616,19.466,40.750
C,Zaza Pachulia,4000,Cha@GS 10:30PM ET,18.597,GS,1,1,20.500,12.641,20.625,30.750,24.500,24.000,0.251,-15.000,224.000,8.025,21.126,20.850,0.000
SF,Solomon Hill,4000,NO@Det 07:30PM ET,16.229,NO,0,0,15.857,11.120,24.562,22.750,3.000,24.000,0.163,7.500,211.500,-9004.794,19.857,20.590,16.500
SF,Caris LeVert,4000,NY@Bkn 07:30PM ET,15.529,Bkn,1,0,20.679,9.089,19.750,16.500,14.000,24.000,0.173,2.500,223.500,7.672,18.227,18.413,21.500
SG,Jodie Meeks,4000,Ind@Orl 07:00PM ET,16.792,Orl,1,1,15.286,9.188,19.250,13.000,24.000,24.000,0.227,2.000,212.500,-0.088,18.406,19.975,0.000
SG/SF,Shabazz Muhammad,4000,Min@Cle 07:00PM ET,13.619,Min,0,0,14.571,7.927,21.188,18.750,27.500,24.000,0.091,6.500,215.500,-1.972,17.880,15.591,29.500
PF/C,Channing Frye,4000,Min@Cle 07:00PM ET,16.706,Cle,1,0,20.357,10.955,17.000,26.250,10.750,24.000,0.181,-6.500,215.500,2.028,17.275,20.113,32.000
PG,Yogi Ferrell,4000,Phi@Dal 08:30PM ET,13.688,Dal,1,0,10.450,6.500,19.000,38.250,16.000,24.000,0.183,-6.500,206.000,-4.674,17.197,13.812,25.250
SF,DeMarre Carroll,3900,Tor@Bos 07:30PM ET,19.290,Tor,0,0,15.250,12.844,15.812,10.500,12.500,23.400,0.320,6.000,215.000,-2.325,16.638,15.966,17.500
SG,Jeremy Lamb,3900,Cha@GS 10:30PM ET,18.103,Cha,0,0,21.464,8.188,19.812,25.750,12.000,23.400,0.329,15.000,224.000,4.025,18.529,21.247,16.750
C,Guillermo Hernangomez,3900,NY@Bkn 07:30PM ET,14.917,NY,0,0,21.036,4.750,21.812,0.000,29.000,23.400,0.210,-2.500,223.500,-3.508,18.507,20.319,46.000
PF,Richaun Holmes,3900,Phi@Dal 08:30PM ET,16.040,Phi,0,0,16.393,7.364,14.188,11.250,3.500,23.400,0.202,6.500,206.000,-9008.674,13.541,14.222,4.000
SG/SF,Joe Ingles,3900,Mil@Uta 09:00PM ET,15.495,Uta,1,0,15.321,7.740,13.875,7.250,22.500,23.400,0.210,-7.500,198.000,-10.317,13.221,13.088,18.750
PF/C,Lucas Nogueira,3800,Tor@Bos 07:30PM ET,17.856,Tor,0,0,13.571,11.131,20.812,10.500,23.000,22.800,0.273,6.000,215.000,-2.325,19.062,18.803,25.750
PF,Nikola Mirotic,3800,Chi@OKC 09:30PM ET,20.378,Chi,0,0,21.571,13.193,14.375,21.750,15.000,22.800,0.401,3.500,206.500,-4.321,16.252,20.519,10.500
SG/SF,Marco Belinelli,3800,Cha@GS 10:30PM ET,18.506,Cha,0,0,18.179,12.810,20.312,13.750,11.000,22.800,0.298,15.000,224.000,4.025,19.059,21.141,31.000
PF,Rondae Hollis-Jefferson,3800,NY@Bkn 07:30PM ET,19.114,Bkn,1,0,21.071,13.198,16.625,21.750,20.000,22.800,0.333,2.500,223.500,7.672,18.720,21.000,30.500
PG/SG,C.J. Watson,3800,Ind@Orl 07:00PM ET,9.197,Orl,1,0,13.107,4.318,21.688,30.000,20.750,22.800,0.035,2.000,212.500,-0.088,16.741,20.659,10.500
SF,Justin Anderson,3800,Phi@Dal 08:30PM ET,13.670,Dal,1,0,9.179,6.717,14.250,0.750,19.000,22.800,0.160,-6.500,206.000,-13.736,12.703,14.099,12.000
