Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Tyler Ulis,3000,Tor@Pho 09:00PM ET,7.408,Pho,1,0,5.143,3.768,5.438,11.000,18.000,16.500,0.107,223.000,8.500,-8992.601,16.500
PF,Pascal Siakam,3000,Tor@Pho 09:00PM ET,12.282,Tor,0,0,9.000,6.766,4.500,20.500,18.000,14.250,0.204,223.000,-8.500,11.399,14.250
C,Alan Williams,3000,Tor@Pho 09:00PM ET,9.768,Pho,1,0,3.000,3.659,4.375,9.000,18.000,0.000,0.275,223.000,8.500,-8992.601,0.000
C,Jakob Poeltl,3000,Tor@Pho 09:00PM ET,7.967,Tor,0,0,7.950,3.781,2.562,24.000,18.000,2.500,0.045,223.000,-8.500,6.050,0.000
PG/SG,Devin Harris,3000,Dal@LAL 10:30PM ET,9.000,Dal,0,0,8.214,4.875,10.875,24.250,18.000,18.750,0.129,205.000,4.000,-1.628,18.750
PG,Jose Calderon,3000,Dal@LAL 10:30PM ET,10.983,LAL,1,0,16.000,5.750,9.938,1.000,18.000,7.250,0.240,205.000,-4.000,-9001.628,0.000
PG,Marcelo Huertas,3000,Dal@LAL 10:30PM ET,9.679,LAL,1,0,7.400,3.969,15.875,1.000,18.000,14.000,0.170,205.000,-4.000,-9001.628,0.000
SG,Nicolas Brussino,3000,Dal@LAL 10:30PM ET,4.948,Dal,0,0,4.357,1.483,2.875,21.000,18.000,11.500,0.012,205.000,4.000,-1.628,0.000
SF,Metta World Peace,3000,Dal@LAL 10:30PM ET,3.135,LAL,1,0,2.375,0.781,0.875,3.000,18.000,0.000,0.004,205.000,-4.000,-9001.628,0.000
C,Tarik Black,3000,Dal@LAL 10:30PM ET,14.281,LAL,1,0,18.607,9.386,11.125,11.000,18.000,0.750,0.257,205.000,-4.000,-9007.292,0.000
C,Salah Mejri,3000,Dal@LAL 10:30PM ET,11.616,Dal,0,0,12.107,5.344,11.562,30.000,18.000,13.500,0.228,205.000,4.000,-1.628,13.500
C,A.J. Hammons,3000,Dal@LAL 10:30PM ET,3.906,Dal,0,0,4.143,1.725,4.438,30.000,18.000,0.000,0.003,205.000,4.000,-5.397,0.000
