Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,4dayAvg,penalty,Final,O/U,odds
Jakob Poeltl,3000,C,TOR,8.485,101,1,UTA,0,8.485,11.300,0.000,3.250,197.000,-4.500
Fred VanVleet,3000,PG,TOR,4.361,101,1,UTA,0,4.361,11.300,0.000,0.000,197.000,-4.500
Bruno Caboclo,3000,SF,TOR,2.875,101,1,UTA,0,2.875,11.300,0.000,0.000,197.000,-4.500
Nicolas Batum,7700,SG/SF,CHA,36.707,101,0,DET,0,36.707,11.300,0.000,20.500,208.000,5.000
Kemba Walker,7900,PG,CHA,39.943,101,0,DET,0,39.943,11.300,0.000,48.750,208.000,5.000
Michael Kidd-Gilchrist,4600,SF,CHA,23.050,101,0,DET,0,23.050,11.300,0.000,24.250,208.000,5.000
Marvin Williams,4300,PF,CHA,21.342,101,0,DET,0,21.342,11.300,0.000,33.750,208.000,5.000
Marco Belinelli,3900,SG,CHA,18.710,101,0,DET,0,18.710,11.300,0.000,13.000,208.000,5.000
Frank Kaminsky,4500,PF,CHA,21.544,101,0,DET,0,21.544,11.300,0.000,12.500,208.000,5.000
Jeremy Lamb,4100,SG/SF,CHA,18.360,101,0,DET,0,18.360,11.300,0.000,5.250,208.000,5.000
Ramon Sessions,3400,PG,CHA,13.611,101,0,DET,0,13.611,11.300,0.000,13.750,208.000,5.000
Spencer Hawes,3700,PF/C,CHA,15.673,101,0,DET,0,15.673,11.300,0.000,31.000,208.000,5.000
Roy Hibbert,3000,C,CHA,12.608,101,0,DET,0,12.608,11.300,0.000,23.000,208.000,5.000
Treveon Graham,3000,SF,CHA,3.750,101,0,DET,0,3.750,11.300,0.000,0.000,208.000,5.000
Brian Roberts,3000,PG,CHA,3.194,101,0,DET,0,3.194,11.300,0.000,0.000,208.000,5.000
Christian Wood,3000,PF,CHA,2.500,101,0,DET,0,2.500,11.300,0.000,0.000,208.000,5.000
Russell Westbrook,12300,PG,OKC,63.882,108,0,HOU,0,64.882,11.300,0.000,72.000,227.500,8.000
Victor Oladipo,6000,SG,OKC,28.574,108,0,HOU,0,30.574,11.300,0.000,32.250,227.500,8.000
Andre Roberson,3500,SF,OKC,17.938,108,0,HOU,0,17.938,11.300,0.000,29.250,227.500,8.000
Steven Adams,5600,C,OKC,27.153,108,0,HOU,0,29.153,11.300,0.000,29.500,227.500,8.000
Jerami Grant,3200,SF/PF,OKC,13.264,108,0,HOU,0,13.264,11.300,0.000,14.000,227.500,8.000
Domantas Sabonis,3000,PF,OKC,14.319,108,0,HOU,0,14.319,11.300,0.000,17.250,227.500,8.000
Enes Kanter,5100,C,OKC,24.368,108,0,HOU,0,24.368,11.300,0.000,35.750,227.500,8.000
Anthony Morrow,3000,SG,OKC,8.759,108,0,HOU,0,8.759,11.300,0.000,0.000,227.500,8.000
Semaj Christon,3000,PG,OKC,9.500,108,0,HOU,0,9.500,11.300,0.000,3.500,227.500,8.000
Joffrey Lauvergne,3000,PF/C,OKC,12.661,108,0,HOU,0,12.661,11.300,0.000,0.000,227.500,8.000
Alex Abrines,3300,SG,OKC,9.198,108,0,HOU,0,9.198,11.300,0.000,5.500,227.500,8.000
Kyle Singler,3000,SF,OKC,4.338,108,0,HOU,0,4.338,11.300,0.000,0.000,227.500,8.000
Nick Collison,3000,C,OKC,4.250,108,0,HOU,0,4.250,11.300,0.000,0.000,227.500,8.000
Jerami Grant,3200,SF/PF,OKC,13.264,108,0,HOU,0,13.264,11.300,0.000,14.000,227.500,8.000
