Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
27,642808469,truredman (21/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Al-Farouq Aminu,2.28%,38.25
27,642808470,truredman (22/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Rudy Gay,2.25%,30.75
55,642009287,RexGrossman (30/50),0,316.75,PG James Harden SG Rodney Hood SF Kawhi Leonard PF David Lee C Andre Drummond F Spencer Hawes G Kyle Lowry UTIL Cristiano Felicio,,Kevin Love,1.90%,27.75
55,642009300,RexGrossman (43/50),0,316.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF David Lee C Spencer Hawes F Taj Gibson G Kyle Lowry UTIL Al Horford,,Anthony Tolliver,1.89%,28
57,642097155,Biesterfield (1/2),0,316.5,PG John Wall SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G Michael Carter-Williams UTIL Jerian Grant,,Maurice Harkless,1.61%,29.25
57,642480214,Scuba3321 (1/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Rodney Hood,1.58%,33.25
57,642480217,Scuba3321 (4/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Jae Crowder,1.55%,14.5
57,642480241,Scuba3321 (5/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Jabari Parker,1.55%,38.25
57,642480244,Scuba3321 (8/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Kyrie Irving,1.54%,32.5
57,642480248,Scuba3321 (9/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Rajon Rondo,1.35%,31
57,642480251,Scuba3321 (12/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Ian Clark,1.26%,16.25
57,642480259,Scuba3321 (13/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Tyler Johnson,1.25%,32.75
57,642480262,Scuba3321 (16/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Markieff Morris,1.22%,33
57,642480281,Scuba3321 (17/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Gordon Hayward,1.22%,47.75
57,642480284,Scuba3321 (20/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Evan Turner,1.16%,20.25
57,642480288,Scuba3321 (21/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Zaza Pachulia,1.15%,21
57,642480291,Scuba3321 (24/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Allen Crabbe,1.00%,12.25
57,642480299,Scuba3321 (25/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,James Johnson,1.00%,29
57,642480302,Scuba3321 (28/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Jonas Valanciunas,0.96%,50.75
57,642480306,Scuba3321 (29/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Patrick Patterson,0.94%,5.5
57,642480309,Scuba3321 (32/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Davis Bertans,0.91%,16.5
57,642480320,Scuba3321 (33/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Gerald Green,0.88%,19.25
57,642488892,Scuba3321 (34/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Rudy Gobert,0.83%,37
57,642488895,Scuba3321 (37/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Tony Parker,0.83%,29.25
57,642488904,Scuba3321 (38/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Lou Williams,0.81%,12
57,642488907,Scuba3321 (41/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Malcolm Brogdon,0.81%,36.5
57,642488913,Scuba3321 (42/50),0,316.5,PG Jerian Grant SG James Harden SF Jeremy Lamb PF David Lee C Spencer Hawes F Kawhi Leonard G John Wall UTIL Michael Carter-Williams,,Robin Lopez,0.81%,26
