DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,PERSON_ID,Position,Salary,SVM,AdaBoost,Neural Network,Random Forest
45.875,56.25,PHI,True,GS,8.5,,1627732.0,PG/SF,9300.0,32.9211224641,47.25,49.8058433184,49.2774166667
0.0,14.75,POR,True,SAC,-12.0,,1627735.0,PG/SG,3000.0,27.3289397709,8.6,6.52840299597,6.98804166667
5.0,2.0,MEM,True,HOU,8.0,,1627738.0,PF/C,3000.0,27.7983691492,5.0,6.30164440141,4.16985119048
3.114,1.0,HOU,False,MEM,-8.0,,1627743.0,PG,3000.0,25.8080818199,1.9,5.83506063343,1.97487301587
6.125,12.0,LAC,False,CHA,4.5,,1627744.0,PF/C,3000.0,27.9049232281,8.3,8.35580435672,7.01458333333
0.0,2.5,GS,False,PHI,-8.5,,1627745.0,C,3000.0,25.1068083631,1.45,5.52629581653,1.62129960317
16.867,2.0,SAC,False,POR,12.0,,1627746.0,PF/C,3600.0,28.5580612743,12.0,12.4774038488,12.1174107143
12.589,13.5,MIL,False,DAL,-7.5,,1627748.0,PF/C,3300.0,27.8514599627,13.9,13.4530815589,13.3500595238
27.45,27.75,ATL,True,BOS,6.5,,1627752.0,SG/SF,5000.0,29.5349826767,26.7,27.9661824918,27.5666666667
3.222,3.25,HOU,False,MEM,-8.0,,1627753.0,PF/C,3000.0,25.8602197993,2.05,6.01608567268,2.59622222222
28.563,17.0,BOS,False,ATL,-6.5,,1627759.0,SG/SF,6500.0,29.1270053801,24.7,24.7873040782,26.5964166667
20.0,0.0,ATL,True,BOS,6.5,,1627761.0,SG/SF,3000.0,28.1955644737,9.4,13.2087297431,8.50927380952
0.0,2.0,MIL,False,DAL,-7.5,,1627762.0,PF,3000.0,27.234549775,1.45,5.63754874364,1.81525198413
27.365,40.0,MIL,False,DAL,-7.5,,1627763.0,PG/SG,5300.0,29.9278935063,30.9,31.8571257189,31.2579480519
4.125,16.0,POR,True,SAC,-12.0,,1627774.0,SF/PF,3000.0,27.472392019,10.45,8.43947171937,9.06054166667
8.229,12.0,GS,False,PHI,-8.5,,1627775.0,SG/SF,3200.0,25.7327469405,9.2,8.4833111555,10.1550833333
0.0,13.25,HOU,False,MEM,-8.0,,1627778.0,PF/C,3000.0,26.0665648797,5.85,6.63042137154,7.19344660895
2.5,,CHA,True,LAC,-4.5,,1627779.0,PG,3000.0,27.6558657002,12.25,9.13609987079,11.488375
0.0,11.25,MIL,False,DAL,-7.5,,1627780.0,SG,3000.0,27.4124812305,5.4,6.29361053605,6.14194246032
8.781,14.75,SAC,False,POR,12.0,,1627781.0,SG/SF,3000.0,28.5720669002,10.55,12.2598747502,12.0139642857
3.875,26.75,HOU,False,MEM,-8.0,,1627786.0,SG,3000.0,26.7851901073,10.05,13.2673560472,12.2806666667
4.5,,PHI,True,GS,8.5,,1627788.0,SG/SF,3000.0,26.3071334825,11.45,12.1862309316,12.5089107143
10.327,7.5,PHI,True,GS,8.5,,1627789.0,SG/SF,3100.0,25.94026326,11.05,9.88935197107,7.83111904762
18.797,13.0,DAL,True,MIL,7.5,,1627812.0,PG/SG,3800.0,28.2992969884,14.75,17.419950013,17.8564583333
4.458,4.0,BOS,False,ATL,-6.5,,1627824.0,PF/C,3000.0,27.764594575,4.15,5.95494439121,4.25558333333
5.313,23.25,SAC,False,POR,12.0,,1627834.0,C,3000.0,28.697376936,10.6,13.4466753606,13.0132857143
4.156,4.25,BOS,False,ATL,-6.5,,1627846.0,PF,3000.0,27.762866013,3.65,5.93718344349,3.86854761905
1.25,32.5,ATL,True,BOS,6.5,,1627852.0,SG/SF,3000.0,28.4825716762,12.85,13.6873663063,12.46775
22.733,18.5,SAC,False,POR,12.0,,1628368.0,PG,4700.0,29.2135375351,21.5,22.865512259,21.447875
26.078,40.0,BOS,False,ATL,-6.5,,1628369.0,SF/PF,6100.0,29.9814667071,24.9,30.014984885,26.9708095238
15.304,33.5,CHA,True,LAC,-4.5,,1628370.0,PG/SG,3600.0,28.7258214948,20.4,21.5541831216,18.6159166667
28.804,27.75,DAL,True,MIL,7.5,,1628372.0,PG/SG,6200.0,29.523511902,29.55,29.5016380096,28.693327381
26.063,29.0,UTA,False,ORL,5.0,,1628378.0,PG/SG,6700.0,29.2919165974,27.6,27.7084724574,27.3970952381
2.125,,POR,True,SAC,-12.0,,1628380.0,PF/C,3000.0,27.6225689804,11.45,9.6089692247,13.787875
22.917,33.75,ATL,True,BOS,6.5,,1628381.0,PF/C,4600.0,29.5254782405,25.0,26.471071302,27.93025
11.054,6.75,SAC,False,POR,12.0,,1628382.0,SG/SF,3400.0,28.4634791371,9.75,10.2759253812,10.5189166667
1.938,,MIL,False,DAL,-7.5,,1628391.0,PF/C,3000.0,27.7703305457,11.9,10.1441706553,13.075375
