DKFPS,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,Name,SVM,AdaBoost,Random Forest,Neural Network
18.054,MIL,False,DAL,-7.5,202.5,,SG/SF,3800.0,Tony Snell,34.125990031261935,6.0,7.936041666666666,16.58034205571161
11.9,CHA,True,LAC,-4.5,213.5,,SG/SF,3000.0,Treveon Graham,34.03389934184241,14.25,16.701130952380954,11.859255588885063
25.054,HOU,False,MEM,-8.0,214.0,,SG/SF,5100.0,Trevor Ariza,34.165552458119706,31.5,46.57172619047619,23.555655648939965
3.875,HOU,False,MEM,-8.0,214.0,,SG,3000.0,Troy Williams,33.55353095450041,9.6875,10.010902777777778,7.925519290372478
8.917,ATL,True,BOS,6.5,202.5,,PF,3400.0,Tyler Cavanaugh,34.04711150018359,8.75,13.447916666666668,9.664269842245318
2.625,ATL,True,BOS,6.5,202.5,,PG/SG,3000.0,Tyler Dorsey,33.94839083741979,1.5,3.919940476190477,8.013214043943101
32.786,MEM,True,HOU,8.0,214.0,,SG/SF,7000.0,Tyreke Evans,34.69267258061123,33.75,35.91726190476191,34.58894273494316
0.0,POR,True,SAC,-12.0,195.5,,PG/SG,3000.0,Wade Baldwin IV,33.806431898698925,3.5,5.446875,8.048768111378756
4.05,ORL,True,UTA,-5.0,211.5,,SG/SF,3000.0,Wes Iwundu,33.77290620900775,5.0,6.15,7.800942219269542
16.411,LAC,False,CHA,4.5,213.5,,SF/PF,3700.0,Wesley Johnson,34.296912744602324,21.75,29.932738095238097,17.38044490804063
22.047,DAL,True,MIL,7.5,202.5,,SG/SF,4400.0,Wesley Matthews,34.35003991086942,2.5,1.217857142857143,25.291784409497875
22.567,SAC,False,POR,12.0,195.5,,PF/C,4200.0,Willie Cauley-Stein,34.44921129816356,27.0,27.871250000000003,23.75881456734721
13.212,LAC,False,CHA,4.5,213.5,,C,3000.0,Willie Reed,34.23495057519673,10.25,5.409642857142858,13.473879210411392
18.797,DAL,True,MIL,7.5,202.5,,PG/SG,3800.0,Yogi Ferrell,34.268550202748656,11.75,9.63354166666667,21.474502518390675
2.125,POR,True,SAC,-12.0,195.5,,PF/C,3000.0,Zach Collins,33.831530908877625,2.0,3.572291666666666,8.28879590332398
22.865,SAC,False,POR,12.0,195.5,,PF/C,4900.0,Zach Randolph,34.455889556863085,14.5,20.776517857142856,24.204259577752744
12.667,GS,False,PHI,-8.5,230.0,,C,3100.0,Zaza Pachulia,33.62928990577386,3.25,3.153065476190476,9.999022638521792
3.222,HOU,False,MEM,-8.0,214.0,,PF/C,3000.0,Zhou Qi,33.54153040641472,2.0,1.9377777777777776,7.880511076960635
19.016,HOU,False,MEM,-8.0,214.0,,SF/PF,3800.0,,33.950990058076215,20.5,19.986666666666668,19.288591571484467
18.25,HOU,False,MEM,-8.0,214.0,,SF/PF,3600.0,,33.9257898867945,25.0,36.597142857142856,18.5009596744341
13.932,HOU,False,MEM,-8.0,214.0,,C,3300.0,,33.793230735721025,11.0,10.005,12.956282150596481
26.5,PHI,True,GS,8.5,230.0,,SG/SF,4900.0,,34.26717518906352,29.75,18.99458333333333,25.96323417606055
34.964,POR,True,SAC,-12.0,195.5,,PG/SG,7100.0,,34.617569129122806,48.25,48.938219696969696,41.71223896468162
0.0,POR,True,SAC,-12.0,195.5,,SG/SF,3000.0,,33.806431898698925,3.5,5.446875,8.048768111378756
8.25,MEM,True,HOU,8.0,214.0,,PG/SG,3000.0,,34.07260775803128,16.25,17.63764880952381,10.009551898194486
0.0,MEM,True,HOU,8.0,214.0,,PF,3000.0,,33.951517146135814,6.0,8.505208333333332,7.882338155031689
6.875,SAC,False,POR,12.0,195.5,,SF/PF,3000.0,,34.162060283588744,6.5,7.3495833333333325,8.73747361225669
10.125,SAC,False,POR,12.0,195.5,,PG/SG,3000.0,,34.210055958200165,16.0,24.27530303030303,9.727329141518844
