Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,7dayAvg,penalty
Dario Saric,4500,SF/PF,PHI,20.674,103,0,BOS,0,22.674,23.143,0.00
Jahlil Okafor,4400,C,PHI,20.652,103,0,BOS,0,20.652,17.536,0.00
T.J. McConnell,5500,PG,PHI,17.220,103,0,BOS,0,17.220,0.000,0.00
Nerlens Noel,3900,C,PHI,11.938,103,0,BOS,0,11.938,13.250,0.00
Timothe Luwawu-Cabarrot,3000,SG,PHI,4.738,103,0,BOS,0,4.738,5.393,0.00
DeMarcus Cousins,10900,PF/C,SAC,52.221,104,1,LAC,0,55.221,56.821,0.00
Darren Collison,4500,PG,SAC,22.917,104,1,LAC,0,22.917,21.821,0.00
Matt Barnes,4400,SF/PF,SAC,19.492,104,1,LAC,0,19.492,19.036,0.00
Ty Lawson,4000,PG,SAC,19.809,104,1,LAC,0,19.809,22.107,0.00
Garrett Temple,3800,PG/SG,SAC,17.329,104,1,LAC,0,17.329,17.143,0.00
Arron Afflalo,3100,SG,SAC,13.054,104,1,LAC,0,13.054,13.250,0.00
Anthony Tolliver,3700,SF/PF,SAC,12.815,104,1,LAC,0,12.815,14.929,0.00
Kosta Koufos,3500,C,SAC,16.007,104,1,LAC,0,16.007,14.429,0.00
Omri Casspi,3300,SF,SAC,13.813,104,1,LAC,0,13.813,13.417,0.00
Ben McLemore,3000,SG,SAC,9.474,104,1,LAC,0,9.474,6.357,0.00
Willie Cauley-Stein,3000,C,SAC,9.008,104,1,LAC,0,9.008,7.821,0.00
Skal Labissiere,3000,PF,SAC,4.625,104,1,LAC,0,4.625,4.000,0.00
Malachi Richardson,3000,SG,SAC,5.700,104,1,LAC,0,5.700,8.750,0.00
Georgios Papagiannis,3000,C,SAC,1.375,104,1,LAC,0,1.375,0.000,0.00
Goran Dragic,7400,PG,MIA,35.328,103,0,LAL,0,35.328,32.893,0.00
Josh Richardson,5600,SF,MIA,22.944,103,0,LAL,0,22.944,28.321,0.00
Tyler Johnson,5800,PG,MIA,28.287,103,0,LAL,0,28.287,32.786,0.00
Wayne Ellington,3700,SG/SF,MIA,19.824,103,0,LAL,0,19.824,18.464,0.00
Rodney McGruder,3100,SG/SF,MIA,14.470,103,0,LAL,0,14.470,16.893,0.00
James Johnson,5700,PF,MIA,24.555,103,0,LAL,0,24.555,29.429,0.00
Derrick Williams,3000,PF,MIA,12.488,103,0,LAL,0,12.488,13.643,0.00
Luke Babbitt,3000,PF,MIA,8.759,103,0,LAL,0,8.759,11.714,0.00
Willie Reed,4200,C,MIA,12.293,103,0,LAL,0,12.293,22.857,0.00
Udonis Haslem,3000,C,MIA,5.292,103,0,LAL,0,5.292,7.650,0.00
