Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SF/PF,Dragan Bender,3000,Pho@NY 07:30PM ET,8.221,PHO,0,0,13.036,3.773,11.375,0.000,0.837,17.500,18.000,222.500,5.500,0.750
PF,Jared Dudley,3000,Pho@NY 07:30PM ET,16.858,PHO,0,1,12.786,11.000,7.750,0.000,-1697.356,21.000,18.000,222.500,5.500,0.000
PF,Maurice Ndour,3000,Pho@NY 07:30PM ET,5.176,NY,1,0,3.964,2.714,5.000,0.000,0.527,20.000,18.000,222.500,-5.500,0.000
C,Marshall Plumlee,3000,Pho@NY 07:30PM ET,7.900,NY,1,0,2.250,1.500,9.562,0.000,0.804,24.000,18.000,222.500,-5.500,0.000
C,Alan Williams,3000,Pho@NY 07:30PM ET,9.250,PHO,0,0,16.429,3.000,3.750,0.000,0.941,26.000,18.000,222.500,5.500,0.000
PG/SG,Rodney Stuckey,3000,Ind@Uta 09:00PM ET,15.794,IND,0,1,17.357,8.306,14.625,0.000,-1599.343,3.500,18.000,200.000,7.500,0.000
PG,Aaron Brooks,3000,Ind@Uta 09:00PM ET,12.083,IND,0,0,14.964,7.523,13.250,0.000,-1091.225,6.000,18.000,200.000,7.500,3.000
PG,Raul Neto,3000,Ind@Uta 09:00PM ET,5.728,UTA,1,0,6.714,1.500,7.625,0.000,-1.780,16.500,18.000,200.000,-7.500,2.500
PG,Dante Exum,3000,Ind@Uta 09:00PM ET,11.656,UTA,1,0,12.643,5.385,6.125,0.000,-10.824,16.500,18.000,200.000,-7.500,0.000
SG,Alec Burks,3000,Ind@Uta 09:00PM ET,5.156,UTA,1,0,10.500,0.375,7.750,0.000,-1.602,26.500,18.000,200.000,-7.500,21.500
SG,Joe Young,3000,Ind@Uta 09:00PM ET,4.875,IND,0,0,9.071,0.479,2.188,0.000,-440.265,1.000,18.000,200.000,7.500,0.000
PF/C,Boris Diaw,3000,Ind@Uta 09:00PM ET,10.707,UTA,1,0,8.536,5.773,14.438,0.000,-3.327,22.500,18.000,200.000,-7.500,15.750
PF/C,Kevin Seraphin,3000,Ind@Uta 09:00PM ET,10.020,IND,0,0,8.571,4.214,8.938,0.000,-904.914,1.500,18.000,200.000,7.500,1.250
PF,Rakeem Christmas,3000,Ind@Uta 09:00PM ET,3.417,IND,0,0,1.375,1.375,3.417,0.000,-308.592,1.000,18.000,200.000,7.500,0.000
PF,Georges Niang,3000,Ind@Uta 09:00PM ET,2.444,IND,0,0,2.036,0.568,2.000,0.000,-220.720,1.000,18.000,200.000,7.500,0.000
PF,Joel Bolomboy,3000,Ind@Uta 09:00PM ET,2.833,UTA,1,0,1.938,1.050,2.812,0.000,-0.880,28.000,18.000,200.000,-7.500,0.000
PF,Trey Lyles,3000,Ind@Uta 09:00PM ET,16.585,UTA,1,0,17.679,9.800,9.938,0.000,-5.154,28.000,18.000,200.000,-7.500,12.000
C,Lavoy Allen,3000,Ind@Uta 09:00PM ET,6.573,IND,0,0,3.964,3.639,2.312,0.000,-593.613,2.000,18.000,200.000,7.500,1.250
C,Jeff Withey,3000,Ind@Uta 09:00PM ET,7.615,UTA,1,0,6.679,3.538,4.250,0.000,-6.449,17.000,18.000,200.000,-7.500,1.250
