Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
PG,Ty Lawson,4000,Sac@Det 07:30PM ET,20.128,SAC,0,0,21.179,12.139,21.875,0.000,-1.687,25.000,24.000,204.500,7.000,17.336,16.814
SF/PF,Matt Barnes,4000,Sac@Det 07:30PM ET,18.763,SAC,0,0,16.393,12.125,15.375,0.000,-1707.280,8.750,24.000,204.500,7.000,11.925,13.765
SG,Jeremy Lamb,4000,Was@Cha 07:00PM ET,18.536,CHA,1,1,15.429,8.188,19.812,0.000,-1853.405,10.000,24.000,213.500,-5.000,14.885,10.010
PF,Frank Kaminsky,4000,Was@Cha 07:00PM ET,21.042,CHA,1,0,25.607,14.978,23.000,0.000,0.011,24.000,24.000,213.500,-5.000,20.749,18.422
PG,Shelvin Mack,4000,OKC@Uta 09:00PM ET,16.195,UTA,1,0,14.107,8.961,4.875,0.000,-14.916,24.000,24.000,203.500,-5.500,8.065,3.147
PG/SG,Iman Shumpert,4000,Cle@NO 08:00PM ET,16.323,CLE,0,0,16.857,11.159,26.250,0.000,0.544,23.500,24.000,217.000,-7.000,19.124,19.373
SF/PF,Michael Beasley,3900,Hou@Mil 08:00PM ET,16.324,MIL,1,0,18.393,8.514,14.875,0.000,1.615,20.000,23.400,224.000,5.000,13.434,17.343
SG/SF,Stanley Johnson,3900,Sac@Det 07:30PM ET,10.927,DET,1,0,10.893,5.352,18.750,0.000,-0.916,17.500,23.400,204.500,-7.000,13.906,13.118
SF/PF,Anthony Tolliver,3900,Sac@Det 07:30PM ET,14.000,SAC,0,0,15.536,6.672,14.500,0.000,-1261.173,8.750,23.400,204.500,7.000,11.061,15.794
SG/SF,Caris LeVert,3900,SA@Bkn 07:30PM ET,14.978,BKN,1,0,17.929,8.596,25.188,0.000,-1350.446,10.250,23.400,217.500,11.000,17.818,21.123
SF/PF,Rondae Hollis-Jefferson,3900,SA@Bkn 07:30PM ET,19.545,BKN,1,0,20.536,13.670,25.375,0.000,-1762.216,2.500,23.400,217.500,11.000,17.820,20.015
