Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,FloorAvg,Final
PF/C,LaMarcus Aldridge,6900,SA@Pho 06:00PM ET,32.793,SA,False,0,35.571,0.000,29.312,0.000,0.000,22.500,41.400,24.650,21.500
PF,Ersan Ilyasova,6700,Phi@Was 08:00PM ET,26.649,Phi,False,0,30.464,0.000,23.625,0.000,0.000,23.000,40.200,19.275,31.750
PF/C,Terrence Jones,6600,NO@Chi 05:00PM ET,22.901,NO,False,0,23.107,0.000,23.875,0.000,0.000,14.500,39.600,14.312,28.000
SF/PF,Otto Porter,6600,Phi@Was 08:00PM ET,30.079,Was,True,0,28.607,0.000,29.625,0.000,0.000,17.500,39.600,21.060,21.000
C,Rudy Gobert,6600,Orl@Uta 09:00PM ET,35.457,Uta,True,0,36.679,0.000,33.875,0.000,0.000,17.000,39.600,27.000,51.250
PG,Eric Bledsoe,6500,SA@Pho 06:00PM ET,38.288,Pho,True,0,41.107,0.000,40.000,0.000,-4.595,5.000,39.000,29.393,42.000
C,Marcin Gortat,6400,Phi@Was 08:00PM ET,31.908,Was,True,0,28.571,0.000,19.438,0.000,0.000,26.500,38.400,24.655,27.500
PG,George Hill,6300,Orl@Uta 09:00PM ET,32.265,Uta,True,0,29.179,0.000,30.500,0.000,0.000,17.000,37.800,22.714,27.500
SF,Robert Covington,6200,Phi@Was 08:00PM ET,25.051,Phi,False,0,24.607,0.000,26.125,0.000,0.000,19.000,37.200,15.233,13.500
C,Nikola Vucevic,6100,Orl@Uta 09:00PM ET,34.664,Orl,False,0,42.143,0.000,40.688,0.000,-4.622,3.000,36.600,26.060,34.000
SF/PF,Markieff Morris,6000,Phi@Was 08:00PM ET,26.230,Was,True,0,24.607,0.000,27.375,0.000,0.000,17.500,36.000,18.310,26.250
PG,D'Angelo Russell,6000,LAL@LAC 03:30PM ET,29.883,LAL,False,0,27.107,0.000,29.062,0.000,-3.735,4.000,36.000,22.472,17.750
C,Pau Gasol,6000,SA@Pho 06:00PM ET,29.527,SA,False,0,32.357,0.000,27.062,0.000,0.000,24.000,36.000,21.988,18.000
SG,Devin Booker,5800,SA@Pho 06:00PM ET,30.000,Pho,True,0,42.250,0.000,40.250,0.000,0.000,19.500,34.800,22.524,44.500
PF/C,Serge Ibaka,5700,Orl@Uta 09:00PM ET,30.875,Orl,False,0,35.786,0.000,31.812,0.000,-4.631,2.000,34.200,23.557,22.750
PF/C,Taj Gibson,5500,NO@Chi 05:00PM ET,25.075,Chi,True,0,21.607,0.000,29.000,0.000,0.000,21.500,33.000,19.696,40.500
C,Nerlens Noel,5500,Phi@Was 08:00PM ET,16.417,Phi,False,0,17.214,0.000,18.688,0.000,0.000,11.000,33.000,10.312,19.500
SF/PF,Aaron Gordon,5400,Orl@Uta 09:00PM ET,22.317,Orl,False,0,23.107,0.000,26.000,0.000,-4.463,1.000,32.400,15.348,32.500
SG/SF,Evan Fournier,5300,Orl@Uta 09:00PM ET,27.764,Orl,False,0,28.071,0.000,22.938,0.000,-5.553,1.000,31.800,20.125,0.000
SG/SF,Tyreke Evans,5100,NO@Chi 05:00PM ET,20.021,NO,False,0,24.792,0.000,29.125,0.000,0.000,15.000,30.600,13.393,25.750
PF,Nikola Mirotic,5000,NO@Chi 05:00PM ET,21.326,Chi,True,1,20.607,0.000,21.750,0.000,-99.000,24.000,30.000,14.053,0.000
PG,Elfrid Payton,4900,Orl@Uta 09:00PM ET,27.604,Orl,False,0,28.143,0.000,23.250,0.000,-3.681,3.000,29.400,20.020,58.750
PG/SG,Austin Rivers,4900,LAL@LAC 03:30PM ET,18.724,LAC,True,0,25.714,0.000,31.938,0.000,0.000,25.000,29.400,11.100,25.250
C,Tyson Chandler,4900,SA@Pho 06:00PM ET,25.315,Pho,True,0,29.929,0.000,32.812,0.000,-3.797,2.000,29.400,18.015,29.250
PG,Rajon Rondo,4800,NO@Chi 05:00PM ET,28.169,Chi,True,0,27.036,0.000,17.312,0.000,0.000,28.000,28.800,18.809,18.000
PF/C,Derrick Favors,4800,Orl@Uta 09:00PM ET,20.798,Uta,True,0,19.286,0.000,23.375,0.000,0.000,15.500,28.800,13.983,24.500
C,Jahlil Okafor,4700,Phi@Was 08:00PM ET,20.580,Phi,False,0,17.964,0.000,14.438,0.000,0.000,11.000,28.200,12.417,39.750
PG,Tony Parker,4700,SA@Pho 06:00PM ET,21.467,SA,False,0,21.321,0.000,21.000,0.000,0.000,26.000,28.200,14.844,20.250
PG,Michael Carter-Williams,4600,NO@Chi 05:00PM ET,18.154,Chi,True,0,17.929,0.000,19.688,0.000,0.000,28.000,27.600,12.333,19.750
SF/PF,Dario Saric,4500,Phi@Was 08:00PM ET,20.595,Phi,False,0,20.750,0.000,15.125,0.000,0.000,21.000,27.000,11.162,17.500
SG,Rodney Hood,4400,Orl@Uta 09:00PM ET,23.549,Uta,True,0,25.357,0.000,25.438,0.000,0.000,17.500,26.400,15.162,23.500
SG,Buddy Hield,4300,NO@Chi 05:00PM ET,15.856,NO,False,0,18.393,0.000,16.250,0.000,0.000,14.000,25.800,8.137,3.500
C,Robin Lopez,4200,NO@Chi 05:00PM ET,22.300,Chi,True,0,20.893,0.000,21.312,0.000,0.000,19.000,25.200,16.524,27.000
PF/C,Marreese Speights,4200,LAL@LAC 03:30PM ET,19.390,LAC,True,0,18.286,0.000,20.188,0.000,0.000,28.000,25.200,13.646,14.500
