"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Josh Huestis",3000,"MIL@OKC 12/29/2017 08:00PM ET",7.397,"OKC"
"SG/SF","Terrance Ferguson",3000,"MIL@OKC 12/29/2017 08:00PM ET",2.413,"OKC"
"SG/SF","Kyle Singler",3000,"MIL@OKC 12/29/2017 08:00PM ET",4.250,"OKC"
"PF","Joel Bolomboy",3000,"MIL@OKC 12/29/2017 08:00PM ET",3.500,"MIL"
"PF/C","Nick Collison",3000,"MIL@OKC 12/29/2017 08:00PM ET",3.625,"OKC"
"SF","Daniel Hamilton",3000,"MIL@OKC 12/29/2017 08:00PM ET",0.000,"OKC"
"C","Dakari Johnson",3000,"MIL@OKC 12/29/2017 08:00PM ET",6.333,"OKC"
"PG/SG","PJ Dozier",3000,"MIL@OKC 12/29/2017 08:00PM ET",0,"OKC"
"PG/SG","Derrick Walton Jr.",3000,"BKN@MIA 12/29/2017 08:00PM ET",4.295,"MIA"
"PF/C","Udonis Haslem",3000,"BKN@MIA 12/29/2017 08:00PM ET",1.964,"MIA"
"C","Timofey Mozgov",3000,"BKN@MIA 12/29/2017 08:00PM ET",10.250,"BKN"
"C","A.J. Hammons",3000,"BKN@MIA 12/29/2017 08:00PM ET",0,"MIA"
"SG","Matt Williams Jr.",3000,"BKN@MIA 12/29/2017 08:00PM ET",2.125,"MIA"
"PG","Jacob Wiley",3000,"BKN@MIA 12/29/2017 08:00PM ET",4.650,"BKN"
"PG","Milton Doyle",3000,"BKN@MIA 12/29/2017 08:00PM ET",7.500,"BKN"
"SF/PF","Okaro White",3000,"BKN@MIA 12/29/2017 08:00PM ET",8.450,"MIA"
"SG/SF","Rodney McGruder",3000,"BKN@MIA 12/29/2017 08:00PM ET",0,"MIA"
"PG/SG","Jeremy Lin",3000,"BKN@MIA 12/29/2017 08:00PM ET",23.000,"BKN"
"PG/SG","Ian Clark",3000,"DAL@NO 12/29/2017 08:00PM ET",10.107,"NO"
"C","Salah Mejri",3000,"DAL@NO 12/29/2017 08:00PM ET",11.967,"DAL"
"PG","Frank Jackson",3000,"DAL@NO 12/29/2017 08:00PM ET",0,"NO"
"SF/PF","Solomon Hill",3000,"DAL@NO 12/29/2017 08:00PM ET",0,"NO"
"SG","Charles Cooke",3000,"DAL@NO 12/29/2017 08:00PM ET",1.900,"NO"
"PF/C","Josh McRoberts",3000,"DAL@NO 12/29/2017 08:00PM ET",0,"DAL"
"PF/C","Johnathan Motley",3000,"DAL@NO 12/29/2017 08:00PM ET",7.250,"DAL"
"SF","Jalen Jones",3000,"DAL@NO 12/29/2017 08:00PM ET",2.313,"NO"
"PF","Nerlens Noel",3000,"DAL@NO 12/29/2017 08:00PM ET",12.132,"DAL"
"SG","Kyle Collinsworth",3000,"DAL@NO 12/29/2017 08:00PM ET",5.750,"DAL"
"PF","Cheick Diallo",3000,"DAL@NO 12/29/2017 08:00PM ET",5.737,"NO"
"C","Omer Asik",3000,"DAL@NO 12/29/2017 08:00PM ET",4.500,"NO"
"SF","Dorian Finney-Smith",3000,"DAL@NO 12/29/2017 08:00PM ET",5.875,"DAL"
"C","Alexis Ajinca",3000,"DAL@NO 12/29/2017 08:00PM ET",0,"NO"
"C","Mike Muscala",3000,"ATL@TOR 12/29/2017 07:30PM ET",16.333,"ATL"
"PG","Josh Magette",3000,"ATL@TOR 12/29/2017 07:30PM ET",6.188,"ATL"
"PG/SG","Tyler Dorsey",3000,"ATL@TOR 12/29/2017 07:30PM ET",4.050,"ATL"
"PG","Lorenzo Brown",3000,"ATL@TOR 12/29/2017 07:30PM ET",3.688,"TOR"
"PF","Alfonzo McKinnie",3000,"ATL@TOR 12/29/2017 07:30PM ET",2.528,"TOR"
"PF","Malcolm Miller",3000,"ATL@TOR 12/29/2017 07:30PM ET",0.000,"TOR"
"SF","Bruno Caboclo",3000,"ATL@TOR 12/29/2017 07:30PM ET",2.375,"TOR"
