"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-15 19:30:00",10,244,"$2.00","$0.00",34,"$1.00","$30.00",15
"NBA","NBA $1 Double Up [$50 Guaranteed]","2015-12-14 19:00:00",29,258.5,"$0.00","$0.00",56,"$1.00","$50.00",25
"NFL","NFL GIANT $25 Double Up [$100,000 Guaranteed]  (Thu)","2015-12-10 20:25:00",734,163.78,"$50.00","$0.00",4525,"$25.00","$100,000.00",2000
"NFL","NFL GIANT $10 Double Up [$20,000 Guaranteed]  (Sunday Only)","2015-12-13 13:00:00",350,154.18,"$20.00","$0.00",2269,"$10.00","$20,000.00",1000
"NBA","NBA MASSIVE $5 Double Up [$50,000 Guaranteed]","2015-12-10 19:30:00",1556,250.75,"$10.00","$0.00",11350,"$5.00","$50,000.00",5000
"NBA","Beginner NBA $25 Double Up [$250 Gtd]","2015-12-10 19:30:00",11,194,"$0.00","$0.00",11,"$25.00","$250.00",5
"NBA","Beginner NBA $25 Double Up [$250 Gtd]","2015-12-09 19:00:00",4,269.25,"$50.00","$0.00",11,"$25.00","$250.00",5
"NBA","NBA $25 Double Up [$500 Guaranteed]","2015-12-09 19:00:00",12,269.25,"$0.00","$0.00",22,"$25.00","$500.00",10
"NBA","NBA $25 Double Up [$500 Guaranteed]","2015-12-08 19:00:00",9,265.5,"$50.00","$0.00",22,"$25.00","$500.00",10
"NFL","Beginner NFL GIANT $5 Double Up [$5,000 Gtd]","2015-12-06 13:00:00",182,193.74,"$10.00","$0.00",1135,"$5.00","$5,000.00",500
"NBA","Beginner NBA $5 Double Up [$10,000 Gtd] (Multi-Entry)","2015-12-07 19:00:00",1019,227.5,"$0.00","$0.00",2269,"$5.00","$10,000.00",1000
"NBA","NBA MASSIVE $5 Double Up [$60,000 Guaranteed]","2015-12-07 19:00:00",9974,212.75,"$0.00","$0.00",13620,"$5.00","$60,000.00",6000
"NBA","NBA $2 50/50  (All Day)","2015-12-06 15:30:00",15,200,"$0.00","$0.00",20,"$2.00","$36.00",10
"NBA","NBA $250 Layup [$250 Guaranteed] (All Day)","2015-12-06 15:30:00",101,215.25,"$0.00","$0.00",145,"$2.00","$250.00",30
"NBA","NBA $5 Double Up [$5,000 Gtd] (Multi-Entry)","2015-12-05 20:00:00",461,261.75,"$10.00","$0.00",1135,"$5.00","$5,000.00",500
"NFL","Beginner NFL $10 Double Up [$500 Gtd]","2015-10-18 13:00:00",50,122.24,"$0.00","$0.00",57,"$10.00","$500.00",25
"NFL","NFL MASSIVE $5 Double Up [$300,000 Guaranteed]","2015-09-20 13:00:00",19707,137.84,"$10.00","$0.00",68099,"$5.00","$300,000.00",30000
"NFL","NFL GIANT $20 50/50 [Top 50% Win, $100K Gtd] (1/2)","2014-12-07 13:00:00",4258,107.7,"$0.00","$0.00",5234,"$20.00","$100,008.00",2778
"NFL","NFL GIANT $20 50/50 [Top 50% Win, $100K Gtd] (2/2)","2014-12-07 13:00:00",4258,107.7,"$0.00","$0.00",5234,"$20.00","$100,008.00",2778
"NFL","NFL GIANT $50 50/50 [Top 50% Win, $100K Gtd] (1/2)","2014-11-30 13:00:00",1179,151.7,"$0.00","$0.00",2224,"$50.00","$100,080.00",1112
"NFL","NFL GIANT $50 50/50 [Top 50% Win, $100K Gtd] (2/2)","2014-11-30 13:00:00",1179,151.7,"$0.00","$0.00",2224,"$50.00","$100,080.00",1112
"NFL","Step 1 [$2 NFL 10-Player]","2014-11-30 13:00:00",5,151.7,"$0.00","$0.00",10,"$2.00","$18.00",4
"NFL","NFL $50 50/50 [Top 50% Win] (Mo-Th)","2014-11-24 20:30:00",2,184.08,"$90.00","$0.00",10,"$50.00","$450.00",5
"NBA","NBA Beginner 50/50 - Invite Only","2014-11-14 19:00:00",716,209.25,"$0.00","$0.00",1112,"$5.00","$5,129.00",556
"NBA","Beginner NBA $3 50/50 [Top 50% Win]","2014-11-12 19:00:00",32,210,"$0.00","$0.00",40,"$3.00","$108.00",20
