Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
SF,Andrew Wiggins,6400,Hou@Min 08:00PM ET,32.230,Min,1,0,30.536,21.562,27.750,16.500,24.000,38.400,0.300,3.500,218.500
SG/SF,Marcus Smart,6300,Was@Bos 08:00PM ET,24.929,Bos,1,0,26.429,19.619,33.125,37.500,10.750,37.800,0.065,-5.500,217.500
PF/C,Serge Ibaka,6300,Orl@LAC 10:30PM ET,30.859,Orl,0,1,35.250,23.557,31.438,37.000,11.500,37.800,0.248,10.500,209.000
SF/PF,Otto Porter,6200,Was@Bos 08:00PM ET,29.757,Was,0,0,25.929,21.300,32.812,23.000,17.750,37.200,0.274,5.500,217.500
PF,Ersan Ilyasova,6100,NY@Phi 07:00PM ET,26.764,Phi,1,0,28.571,19.264,34.312,28.250,20.000,36.600,0.165,2.000,211.500
C,Marcin Gortat,6000,Was@Bos 08:00PM ET,32.128,Was,0,0,30.964,26.175,32.625,29.000,23.000,36.000,0.315,5.500,217.500
SF,Robert Covington,6000,NY@Phi 07:00PM ET,24.875,Phi,1,0,29.464,16.383,35.375,43.250,14.000,36.000,0.152,2.000,211.500
SG/SF,Evan Fournier,6000,Orl@LAC 10:30PM ET,28.463,Orl,0,0,27.536,21.118,28.375,34.750,13.750,36.000,0.204,10.500,209.000
C,Mason Plumlee,6000,Cle@Por 10:30PM ET,30.663,Por,1,0,33.107,23.455,37.625,25.750,6.000,36.000,0.299,5.000,222.000
SG,Victor Oladipo,5900,Mem@OKC 08:00PM ET,28.517,OKC,1,0,26.214,19.946,28.812,22.500,8.500,35.400,0.259,-4.500,204.000
SG,Eric Gordon,5900,Hou@Min 08:00PM ET,29.006,Hou,0,1,31.393,23.571,34.375,31.000,5.000,35.400,0.209,-3.500,218.500
PG,Derrick Rose,5900,NY@Phi 07:00PM ET,30.068,NY,0,1,28.500,23.724,25.250,24.000,16.000,35.400,0.291,-2.000,211.500
SG,Avery Bradley,5800,Was@Bos 08:00PM ET,33.936,Bos,1,1,31.857,27.044,35.875,45.250,6.500,34.800,0.461,-5.500,217.500
PF/C,Zach Randolph,5800,Mem@OKC 08:00PM ET,27.523,Mem,0,0,28.357,22.764,32.500,36.750,13.500,34.800,0.175,4.500,204.000
C,Steven Adams,5700,Mem@OKC 08:00PM ET,27.571,OKC,1,0,31.643,21.079,34.625,32.750,1.000,34.200,0.193,-4.500,204.000
