Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
SF,Kyle Singler,3000,Dal@OKC 08:00PM ET,4.261,OKC,1,0,2.750,1.386,4.312,3.000,18.000,8.000,0.001,197.000,-9.000,-9009.286,1.250
SF,Dorian Finney-Smith,3000,Dal@OKC 08:00PM ET,11.364,Dal,0,0,7.071,6.170,13.625,7.000,18.000,17.250,0.203,197.000,9.000,-13.286,30.250
SF,Justin Anderson,3000,Dal@OKC 08:00PM ET,13.848,Dal,0,0,7.429,7.307,13.875,7.000,18.000,23.250,0.321,197.000,9.000,-13.286,26.250
PF/C,Joffrey Lauvergne,3000,Dal@OKC 08:00PM ET,11.763,OKC,1,0,12.500,6.024,9.812,7.000,18.000,7.500,0.215,197.000,-9.000,-9.286,2.500
PF,Domantas Sabonis,3000,Dal@OKC 08:00PM ET,14.005,OKC,1,0,13.321,8.924,12.688,3.000,18.000,15.000,0.275,197.000,-9.000,-9009.286,17.750
C,Nick Collison,3000,Dal@OKC 08:00PM ET,3.818,OKC,1,0,2.125,0.333,4.312,11.000,18.000,-0.500,0.010,197.000,-9.000,-9.286,0.000
C,Salah Mejri,3000,Dal@OKC 08:00PM ET,10.859,Dal,0,0,10.107,5.091,9.688,12.000,18.000,11.250,0.187,197.000,9.000,-13.286,10.000
C,A.J. Hammons,3000,Dal@OKC 08:00PM ET,3.794,Dal,0,0,2.536,1.750,3.875,12.000,18.000,2.000,0.002,197.000,9.000,-13.286,0.000
PG/SG,Rodney Stuckey,3000,Ind@Min 08:00PM ET,15.794,Ind,0,0,17.357,8.306,14.625,13.500,18.000,2.000,0.409,211.500,3.000,-8.548,0.000
PG,Aaron Brooks,3000,Ind@Min 08:00PM ET,11.856,Ind,0,0,13.964,7.114,6.750,19.000,18.000,3.000,0.195,211.500,3.000,-6.025,3.750
PG,Tyus Jones,3000,Ind@Min 08:00PM ET,9.170,Min,1,0,5.357,2.042,10.062,16.500,18.000,19.000,0.177,211.500,-3.000,1.071,0.000
SG,Brandon Rush,3000,Ind@Min 08:00PM ET,7.938,Min,1,0,11.000,3.229,15.062,27.000,18.000,0.000,0.159,211.500,-3.000,1.071,0.000
SG,Joe Young,3000,Ind@Min 08:00PM ET,4.762,Ind,0,0,9.071,0.635,2.812,8.000,18.000,2.500,0.033,211.500,3.000,1.071,0.000
SF/PF,Nemanja Bjelica,3000,Ind@Min 08:00PM ET,12.942,Min,1,0,13.607,6.107,9.438,21.000,18.000,2.500,0.285,211.500,-3.000,-7.787,11.250
PF/C,Kevin Seraphin,3000,Ind@Min 08:00PM ET,9.491,Ind,0,0,8.357,3.600,2.500,11.750,18.000,3.250,0.145,211.500,3.000,1.071,0.000
PF,Jordan Hill,3000,Ind@Min 08:00PM ET,5.350,Min,1,0,2.667,0.625,5.000,28.000,18.000,1.250,0.048,211.500,-3.000,1.071,0.000
PF,Adreian Payne,3000,Ind@Min 08:00PM ET,9.000,Min,1,0,10.750,4.625,4.812,28.000,18.000,2.750,0.102,211.500,-3.000,1.071,0.000
PF,Rakeem Christmas,3000,Ind@Min 08:00PM ET,3.417,Ind,0,0,1.375,1.375,3.417,8.500,18.000,0.000,0.055,211.500,3.000,1.071,0.000
PF,Georges Niang,3000,Ind@Min 08:00PM ET,2.316,Ind,0,0,1.821,0.521,2.000,8.500,18.000,0.000,0.000,211.500,3.000,1.071,0.000
C,Cole Aldrich,3000,Ind@Min 08:00PM ET,8.931,Min,1,0,5.250,4.602,4.625,16.000,18.000,9.000,0.102,211.500,-3.000,1.071,4.000
C,Lavoy Allen,3000,Ind@Min 08:00PM ET,6.406,Ind,0,0,3.714,3.347,1.875,15.000,18.000,1.250,0.005,211.500,3.000,-2.887,9.750
PG,Jose Calderon,3000,LAL@Uta 10:30PM ET,9.054,LAL,0,0,6.571,3.635,8.688,7.000,18.000,3.750,0.158,201.500,13.000,-10.071,2.250
PG,Marcelo Huertas,3000,LAL@Uta 10:30PM ET,8.075,LAL,0,0,11.286,4.125,4.438,7.000,18.000,3.000,0.104,201.500,13.000,-10.071,0.000
PG,Raul Neto,3000,LAL@Uta 10:30PM ET,5.370,Uta,1,0,4.214,1.464,3.938,27.500,18.000,0.000,0.016,201.500,-13.000,-11.412,0.000
PG,Dante Exum,3000,LAL@Uta 10:30PM ET,11.750,Uta,1,0,12.786,5.385,8.562,27.500,18.000,14.750,0.157,201.500,-13.000,-6.071,0.000
SF,Metta World Peace,3000,LAL@Uta 10:30PM ET,2.603,LAL,0,0,2.857,0.523,0.875,1.000,18.000,-0.500,0.001,201.500,13.000,-9010.071,0.000
PF/C,Boris Diaw,3000,LAL@Uta 10:30PM ET,11.336,Uta,1,0,9.036,5.989,16.250,28.250,18.000,22.750,0.193,201.500,-13.000,-6.071,8.250
PF,Thomas Robinson,3000,LAL@Uta 10:30PM ET,11.485,LAL,0,0,16.107,4.653,3.062,1.000,18.000,3.750,0.226,201.500,13.000,-9010.071,0.000
PF,Joel Bolomboy,3000,LAL@Uta 10:30PM ET,2.833,Uta,1,0,1.938,1.050,2.812,26.500,18.000,3.500,0.004,201.500,-13.000,-6.071,0.000
PF,Trey Lyles,3000,LAL@Uta 10:30PM ET,16.447,Uta,1,0,15.536,9.750,13.688,26.500,18.000,13.250,0.418,201.500,-13.000,-6.071,12.250
C,Jeff Withey,3000,LAL@Uta 10:30PM ET,7.380,Uta,1,0,5.643,3.058,2.125,30.000,18.000,1.250,0.033,201.500,-13.000,-11.470,0.000
C,Tarik Black,3000,LAL@Uta 10:30PM ET,14.608,LAL,0,0,9.036,9.408,16.812,2.000,18.000,11.500,0.312,201.500,13.000,-9010.071,13.000
C,Timofey Mozgov,3000,LAL@Uta 10:30PM ET,15.979,LAL,0,0,13.607,10.413,14.562,2.000,18.000,9.250,0.394,201.500,13.000,-9010.071,25.250
C,Ivica Zubac,3000,LAL@Uta 10:30PM ET,10.821,LAL,0,0,10.750,3.611,21.500,2.000,18.000,33.000,0.279,201.500,13.000,-9010.071,31.500
