Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Bobby Brown,3000,Hou@Dal 08:30PM ET,0.667,Hou,0,0,0.000,0.000,1.000,2.750,1.000,18.000,0.008,0.000,209.000,-8995.946,1.250
PG,Tyler Ennis,3000,Hou@Dal 08:30PM ET,5.361,Hou,0,0,5.429,2.275,2.562,2.000,1.000,18.000,0.010,0.000,209.000,-8995.946,11.500
SG/SF,Corey Brewer,3000,Hou@Dal 08:30PM ET,8.375,Hou,0,0,4.929,4.691,5.375,12.000,3.750,18.000,0.031,0.000,209.000,-8995.946,15.750
SG,Jonathan Gibson,3000,Hou@Dal 08:30PM ET,10.912,Dal,1,0,7.750,2.188,2.062,0.000,27.000,18.000,0.260,5.000,209.000,4.054,0.000
SG,Nicolas Brussino,3000,Hou@Dal 08:30PM ET,4.663,Dal,1,0,3.250,1.250,0.500,0.000,27.000,18.000,0.010,5.000,209.000,4.054,11.500
SF,K.J. McDaniels,3000,Hou@Dal 08:30PM ET,6.667,Hou,0,0,8.036,2.275,1.750,5.250,3.500,18.000,0.043,0.000,209.000,-8995.946,4.250
SF,Justin Anderson,3000,Hou@Dal 08:30PM ET,15.155,Dal,1,0,12.571,10.283,8.250,13.500,24.000,18.000,0.338,5.000,209.000,4.054,33.000
PF,Kyle Wiltjer,3000,Hou@Dal 08:30PM ET,2.500,Hou,0,0,1.250,0.450,4.000,0.750,4.000,18.000,0.014,0.000,209.000,-8995.946,0.000
C,A.J. Hammons,3000,Hou@Dal 08:30PM ET,3.906,Dal,1,0,4.571,1.725,4.438,0.000,26.000,18.000,0.003,5.000,209.000,0.286,0.000
C,Chinanu Onuaku,3000,Hou@Dal 08:30PM ET,13.250,Hou,0,0,0.000,0.000,13.250,13.250,9.500,18.000,0.159,0.000,209.000,4.054,0.000
PG,Jose Calderon,3000,Uta@LAL 10:30PM ET,10.983,LAL,1,0,16.000,5.750,9.938,7.250,6.000,18.000,0.240,5.500,204.000,0.369,0.000
PG,Marcelo Huertas,3000,Uta@LAL 10:30PM ET,9.679,LAL,1,0,7.400,3.969,15.875,14.000,6.000,18.000,0.170,5.500,204.000,0.369,0.000
PG,Raul Neto,3000,Uta@LAL 10:30PM ET,4.483,Uta,0,0,5.625,1.275,5.188,1.250,28.000,18.000,0.020,0.000,204.000,0.369,13.000
PG,Dante Exum,3000,Uta@LAL 10:30PM ET,12.446,Uta,0,0,12.393,6.682,10.188,6.750,28.000,18.000,0.172,0.000,204.000,0.369,0.000
SG,Alec Burks,3000,Uta@LAL 10:30PM ET,0.000,Uta,0,0,0.000,0.000,0.000,0.000,19.500,18.000,,0.000,204.000,0.369,0.000
SF,Metta World Peace,3000,Uta@LAL 10:30PM ET,3.135,LAL,1,0,2.375,0.781,0.875,0.000,1.000,18.000,0.004,5.500,204.000,-8999.631,0.000
PF/C,Boris Diaw,3000,Uta@LAL 10:30PM ET,11.659,Uta,0,0,11.464,6.429,14.375,7.000,27.750,18.000,0.212,0.000,204.000,0.369,14.000
PF,Joel Bolomboy,3000,Uta@LAL 10:30PM ET,2.833,Uta,0,0,3.550,1.050,2.812,3.500,26.000,18.000,0.004,0.000,204.000,0.369,0.000
C,Jeff Withey,3000,Uta@LAL 10:30PM ET,8.293,Uta,0,0,9.714,4.542,10.188,9.750,29.500,18.000,0.042,0.000,204.000,0.369,0.000
C,Tarik Black,3000,Uta@LAL 10:30PM ET,14.281,LAL,1,0,18.607,9.386,11.125,0.750,2.000,18.000,0.257,5.500,204.000,-9005.295,0.000
C,Ivica Zubac,3000,Uta@LAL 10:30PM ET,4.036,LAL,1,0,0.000,1.150,3.062,9.500,2.000,18.000,0.029,5.500,204.000,-8999.631,0.000
