Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,O/U,odds,penalty
SG/SF,Marco Belinelli,3900,GS@Cha 08:00PM ET,18.800,CHA,1,0,17.643,13.048,22.750,0.000,11.000,23.400,223.500,10.000,-8997.048
C,Zaza Pachulia,3900,GS@Cha 08:00PM ET,18.524,GS,0,0,24.821,12.512,23.438,0.000,25.000,23.400,223.500,-10.000,2.952
PG,Cory Joseph,3900,Tor@Mem 08:00PM ET,18.278,TOR,0,0,21.607,12.660,13.062,0.000,6.500,23.400,200.500,6.000,-9009.199
PF/C,Kyle O'Quinn,3900,NY@Dal 08:30PM ET,17.739,NY,0,0,15.964,9.702,13.562,0.000,6.000,23.400,204.000,3.000,-9006.742
SF/PF,Sam Dekker,3800,Hou@Bos 07:30PM ET,15.932,HOU,0,0,17.214,10.607,22.688,0.000,19.750,22.800,229.000,-4.000,10.815
PG,Sergio Rodriguez,3800,Phi@Mil 08:00PM ET,22.395,PHI,0,0,22.679,14.105,19.875,0.000,4.000,22.800,207.000,11.000,-9008.635
PG,Jerian Grant,3800,Atl@Chi 08:00PM ET,10.986,CHI,1,0,12.107,4.934,12.625,0.000,23.000,22.800,202.500,1.500,-7.795
SF,Maurice Harkless,3800,LAL@Por 10:30PM ET,22.432,POR,1,0,20.643,13.694,9.625,0.000,28.000,22.800,221.000,-8.500,1.197
C,Montrezl Harrell,3700,Hou@Bos 07:30PM ET,18.244,HOU,0,0,18.750,8.803,15.938,0.000,21.000,22.200,229.000,-4.000,10.815
PF,Richaun Holmes,3700,Phi@Mil 08:00PM ET,16.022,PHI,0,0,14.500,6.900,10.062,0.000,14.000,22.200,207.000,11.000,-8.635
C,Willie Reed,3700,Mia@Bkn 07:30PM ET,13.569,MIA,0,0,26.179,7.641,13.188,0.000,29.000,22.200,215.000,-3.000,0.983
SF,Doug McDermott,3700,Atl@Chi 08:00PM ET,16.788,CHI,1,0,17.536,10.059,12.500,0.000,24.000,22.200,202.500,1.500,-7.795
