Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
4200,4500,4366.6667,4200,94.28090416,13.375,8.973049927,2.5,26.25,202323,POR,202,4,0,WAS,,21700279,SG/SF,Evan Turner,Evan Turner,19.75,15.7091869,13.634375
8500,9100,8800,8300,244.9489743,43.08333333,9.293441535,30.25,57,203081,POR,202,4,0,WAS,,21700279,PG,Damian Lillard,Damian Lillard,44.25,40.65001624,44.94627976
6300,7100,6816.6667,6500,203.4425936,30.20833333,15.62477778,16.25,63.25,203994,POR,202,4,0,WAS,,21700279,C,Jusuf Nurkic,Jusuf Nurkic,29.5,34.20426884,33.03664683
3700,3900,3725,3500,147.9019946,6.5625,7.220576068,-0.5,16.75,1628403,POR,202,4,0,WAS,,21700279,PF,Caleb Swanigan,Caleb Swanigan,9.75,9.366957061,9.012242063
3400,3700,3483.3333,3400,106.7187373,13.70833333,2.205186437,10.25,17.25,202334,POR,202,4,0,WAS,,21700279,PF/C,Ed Davis,Ed Davis,15.5,12.01959521,14.5605303
3200,3200,3066.6667,3000,94.28090416,12.16666667,8.267237883,1.25,21.25,203086,POR,202,4,0,WAS,,21700279,PF/C,Meyers Leonard,Meyers Leonard,12.25,10.15252325,11.78
6900,7200,7050,6900,125.8305739,35.25,5.377421935,26,40.5,203468,POR,202,4,0,WAS,,21700279,PG/SG,C.J. McCollum,CJ McCollum,37,35.72793184,33.29806548
3000,3000,3000,3000,0,8.416666667,3.290347837,5.75,15.5,1626192,POR,202,4,0,WAS,,21700279,SG/SF,Pat Connaughton,Pat Connaughton,9,9.04269358,7.869166667
3500,3700,3533.3333,3500,74.53559925,12.125,3.915114941,4.75,15.75,203090,POR,202,4,0,WAS,,21700279,SF/PF,Maurice Harkless,Maurice Harkless,15.25,11.33401407,14.95907738
3900,3700,3383.3333,3100,233.9278141,18.79166667,9.334542332,5.75,32,203894,POR,202,4,0,WAS,,21700279,PG/SG,Shabazz Napier,Shabazz Napier,13.25,16.00434776,20.33166667
4900,5400,5300,5200,89.4427191,29.4,9.7,11.75,41,101162,WAS,202,-4,1,POR,,21700279,C,Marcin Gortat,Marcin Gortat,26.75,26.97749408,19.42422619
3400,3400,3400,3400,0,8.65,1.764936259,5.25,10,201975,WAS,202,-4,1,POR,,21700279,SG,Jodie Meeks,Jodie Meeks,9.25,10.298943,9.588559982
7400,8000,7560,7200,300.6659276,38.6,6.09631036,33.5,50,203078,WAS,202,-4,1,POR,,21700279,SG,Bradley Beal,Bradley Beal,32.25,39.21951075,37.5500496
