GAME_ID,tdate,player_id,Target,avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),avg(t2.MIN),min(s1.salary),max(s1.salary),avg(s1.salary),DISPLAY_FIRST_LAST,id,fantasy_pts,avg_pts,fpts_diff,player_name,date,salary,salary_change,salary_diff,salary_diff_percentage,GAME_ID,GAME_DATE,Player_ID,team,ou,odds,home,OPP
21700268,21700268-1628463,1628463,?,8.125,6.016903273,1.5,17.75,13.25,3300,3300,3300,Tyler Cavanaugh,57,8.3,7.58,0.72,Tyler Cavanaugh,11/22/17,3300,-2.9,-100,-2.9,21700268,11/24/17,1628463,ATL,208,2,1,NYK
21700268,21700268-203145,203145,?,23.5,5.16599458,19.25,32.25,26.75,5400,5400,5400,Kent Bazemore,96,28.04,28.13,-0.09,Kent Bazemore,11/22/17,5400,-1.8,-100,-1.8,21700268,11/24/17,203145,ATL,208,2,1,NYK
21700268,21700268-203473,203473,?,32.4375,13.79806938,17.5,55,25.5,5100,5100,5100,Dewayne Dedmon,39,26.46,25.29,1.17,Dewayne Dedmon,11/22/17,5100,-3.8,-200,-3.8,21700268,11/24/17,203473,ATL,208,2,1,NYK
21700268,21700268-1627752,1627752,?,27.1875,11.07132416,10.75,41.25,31.25,5200,5200,5200,Taurean Prince,38,26.14,26.63,-0.49,Taurean Prince,11/22/17,5200,4,200,4,21700268,11/24/17,1627752,ATL,208,2,1,NYK
21700268,21700268-203705,203705,?,16.5,0,16.5,16.5,15,3000,3000,3000,Josh Magette,249,2.52,4.63,-2.11,Josh Magette,11/22/17,3000,0,0,0,21700268,11/24/17,203705,ATL,208,2,1,NYK
21700268,21700268-201158,201158,?,20.8125,7.577464533,9.5,30.75,25.5,3800,3800,3800,Marco Belinelli,19,22.97,21.42,1.55,Marco Belinelli,11/22/17,3800,-5,-200,-5,21700268,11/24/17,201158,ATL,208,2,1,NYK
21700268,21700268-101141,101141,?,7.833333333,4.656238348,2.75,14,10,3800,3800,3800,Ersan Ilyasova,67,8.17,13.14,-4.97,Ersan Ilyasova,11/22/17,3800,-2.6,-100,-2.6,21700268,11/24/17,101141,ATL,208,2,1,NYK
21700268,21700268-203471,203471,?,35.875,4.295710069,31.5,43,31.5,6600,6600,6600,Dennis Schroder,105,37.12,35.48,1.64,Dennis Schroder,11/22/17,6600,-1.5,-100,-1.5,21700268,11/24/17,203471,ATL,208,2,1,NYK
21700269,21700269-202687,202687,?,13.3125,3.684320663,8.75,18.25,17.25,3200,3200,3200,Bismack Biyombo,202,13.43,12.39,1.04,Bismack Biyombo,11/22/17,3200,0,0,0,21700269,11/24/17,202687,ORL,209,8,0,BOS
21700269,21700269-202696,202696,?,34.5625,9.820856314,22.5,49.25,29.5,6600,6600,6600,Nikola Vucevic,33,34.62,35.31,-0.69,Nikola Vucevic,11/22/17,6600,-4.3,-300,-4.3,21700269,11/24/17,202696,ORL,209,8,0,BOS
21700269,21700269-203082,203082,?,20.9375,6.66702473,14.25,32,26.25,3700,3700,3700,Terrence Ross,197,19.51,19.4,0.11,Terrence Ross,11/22/17,3700,0,0,0,21700269,11/24/17,203082,ORL,209,8,0,BOS
21700269,21700269-203613,203613,?,16.8125,4.874599343,10,23.75,23,4200,4200,4200,Jonathon Simmons,30,19.3,22.06,-2.76,Jonathon Simmons,11/22/17,4200,-4.5,-200,-4.5,21700269,11/24/17,203613,ORL,209,8,0,BOS
21700269,21700269-203932,203932,?,33.1875,7.446423219,23.75,44.25,33.5,6500,6500,6500,Aaron Gordon,9,31.86,35.06,-3.2,Aaron Gordon,11/22/17,6500,-7.1,-500,-7.1,21700269,11/24/17,203932,ORL,209,8,0,BOS
21700269,21700269-201167,201167,?,8.666666667,6.989078782,0.75,17.75,16,3000,3000,3000,Arron Afflalo,227,5.26,5.13,0.13,Arron Afflalo,11/22/17,3000,0,0,0,21700269,11/24/17,201167,ORL,209,8,0,BOS
21700269,21700269-202714,202714,?,8.75,2,6.75,10.75,13.5,3400,3400,3400,Shelvin Mack,150,3.37,16.32,-12.95,Shelvin Mack,11/22/17,3400,0,0,0,21700269,11/24/17,202714,ORL,209,8,0,BOS
21700269,21700269-203095,203095,?,24.625,4.839615171,18.25,30.25,31.75,5900,5900,5900,Evan Fournier,11,27.85,31.18,-3.33,Evan Fournier,11/22/17,5900,-6.3,-400,-6.3,21700269,11/24/17,203095,ORL,209,8,0,BOS
21700269,21700269-1626209,1626209,?,7.625,4.375,3.25,12,11,3000,3000,3000,Mario Hezonja,116,2.17,7.63,-5.46,Mario Hezonja,11/22/17,3000,0,0,0,21700269,11/24/17,1626209,ORL,209,8,0,BOS
21700269,21700269-203901,203901,?,26.3125,9.042218685,18.75,41.5,28.25,5700,5700,5700,Elfrid Payton,7,33.59,25.69,7.9,Elfrid Payton,11/22/17,5700,-8.1,-500,-8.1,21700269,11/24/17,203901,ORL,209,8,0,BOS
21700269,21700269-201578,201578,?,15.1875,3.337172269,10,19.25,12.75,3100,3100,3100,Marreese Speights,142,11.57,12.63,-1.06,Marreese Speights,11/22/17,3100,0,0,0,21700269,11/24/17,201578,ORL,209,8,0,BOS
21700269,21700269-1626179,1626179,?,12.05,8.053570637,2.5,23,19.8,4400,4400,4400,Terry Rozier,166,19.52,20.68,-1.16,Terry Rozier,11/22/17,4400,0,0,0,21700269,11/24/17,1626179,BOS,209,-8,1,ORL
21700269,21700269-203382,203382,?,7.85,2.791057147,5.5,13.25,12.4,3500,3500,3500,Aron Baynes,188,13.23,14.88,-1.65,Aron Baynes,11/22/17,3500,0,0,0,21700269,11/24/17,203382,BOS,209,-8,1,ORL
21700269,21700269-1627759,1627759,?,32.15,6.727926872,20.75,40.25,33.6,6500,6500,6500,Jaylen Brown,169,30.23,28.87,1.36,Jaylen Brown,11/22/17,6500,0,0,0,21700269,11/24/17,1627759,BOS,209,-8,1,ORL
21700269,21700269-1628369,1628369,?,30.95,6.605679375,18.5,37.75,31.6,5700,5700,5700,Jayson Tatum,101,30.01,27.39,2.62,Jayson Tatum,11/22/17,5700,-1.7,-100,-1.7,21700269,11/24/17,1628369,BOS,209,-8,1,ORL
21700269,21700269-1628464,1628464,?,5.3,4.495553359,2.5,14.25,6.6,3300,3300,3300,Daniel Theis,136,5.74,10.89,-5.15,Daniel Theis,11/22/17,3300,0,0,0,21700269,11/24/17,1628464,BOS,209,-8,1,ORL
21700269,21700269-202681,202681,?,43.1,10.51855503,34.25,62.75,33.2,8300,8300,8300,Kyrie Irving,113,40.48,38.42,2.06,Kyrie Irving,11/22/17,8300,1.2,100,1.2,21700269,11/24/17,202681,BOS,209,-8,1,ORL
21700269,21700269-202694,202694,?,26.85,4.856953778,22.5,36,24.4,4900,4900,4900,Marcus Morris,235,21.05,24.18,-3.13,Marcus Morris,11/22/17,4900,0,0,0,21700269,11/24/17,202694,BOS,209,-8,1,ORL
21700269,21700269-203499,203499,?,3.75,2.455860338,0,6.5,8.25,3200,3200,3200,Shane Larkin,187,4.39,6.17,-1.78,Shane Larkin,11/22/17,3200,0,0,0,21700269,11/24/17,203499,BOS,209,-8,1,ORL
21700269,21700269-1627846,1627846,?,-0.5,0,-0.5,-0.5,4,3000,3000,3000,Abdel Nader,247,1.5,3.64,-2.14,Abdel Nader,11/22/17,3000,0,0,0,21700269,11/24/17,1627846,BOS,209,-8,1,ORL
21700269,21700269-1628400,1628400,?,3.1,2.839894364,0,8.25,9,3200,3200,3200,Semi Ojeleye,209,3.33,5.35,-2.02,Semi Ojeleye,11/22/17,3200,0,0,0,21700269,11/24/17,1628400,BOS,209,-8,1,ORL
21700269,21700269-203935,203935,?,20.6,5.782732918,13.75,31.25,32.4,5100,5100,5100,Marcus Smart,41,28.45,25.59,2.86,Marcus Smart,11/22/17,5100,-3.8,-200,-3.8,21700269,11/24/17,203935,BOS,209,-8,1,ORL
21700269,21700269-201143,201143,?,30.65,4.088398219,24.5,36.25,34.4,6900,6900,6900,Al Horford,60,36.44,34.34,2.1,Al Horford,11/22/17,6900,-2.8,-200,-2.8,21700269,11/24/17,201143,BOS,209,-8,1,ORL
21700273,21700273-203083,203083,?,39.5,10.8699701,21.5,50.5,30.5,8800,8800,8800,Andre Drummond,124,41.77,42.51,-0.74,Andre Drummond,11/20/17,8800,0,0,0,21700273,11/24/17,203083,DET,203,8,0,OKC
21700273,21700273-203493,203493,?,7.125,7.125,0,14.25,8.5,3000,3000,3000,Reggie Bullock,171,2.58,7.73,-5.15,Reggie Bullock,11/20/17,3000,0,0,0,21700273,11/24/17,203493,DET,203,8,0,OKC
21700273,21700273-1626169,1626169,?,13.4375,5.721054863,7.75,22,27.25,3800,3800,3800,Stanley Johnson,62,17.52,16.8,0.72,Stanley Johnson,11/20/17,3800,2.7,100,2.7,21700273,11/24/17,1626169,DET,203,8,0,OKC
21700273,21700273-1627740,1627740,?,13,0,13,13,12,3000,3000,3000,Henry Ellenson,145,1.55,11.71,-10.16,Henry Ellenson,11/20/17,3000,0,0,0,21700273,11/24/17,1627740,DET,203,8,0,OKC
21700273,21700273-203961,203961,?,12.625,5.694020987,5.25,19.75,17,3000,3000,3000,Eric Moreland,189,11.46,8.07,3.39,Eric Moreland,11/20/17,3000,0,0,0,21700273,11/24/17,203961,DET,203,8,0,OKC
21700273,21700273-204038,204038,?,11,3.960744879,6.25,16.25,13.25,3000,3000,3000,Langston Galloway,119,9.12,11.14,-2.02,Langston Galloway,11/20/17,3000,0,0,0,21700273,11/24/17,204038,DET,203,8,0,OKC
21700273,21700273-202397,202397,?,14.625,4.491311056,8,20.5,20.5,3700,3700,3700,Ish Smith,70,17.28,18.59,-1.31,Ish Smith,11/20/17,3700,-2.6,-100,-2.6,21700273,11/24/17,202397,DET,203,8,0,OKC
21700273,21700273-202704,202704,?,21.875,7.989250591,9.25,29,26,6000,6000,6000,Reggie Jackson,49,27.45,29.37,-1.92,Reggie Jackson,11/20/17,6000,-3.2,-200,-3.2,21700273,11/24/17,202704,DET,203,8,0,OKC
21700273,21700273-1628379,1628379,?,13.3125,6.428391615,4.25,21.25,16.25,3300,3300,3300,Luke Kennard,160,9.83,10.98,-1.15,Luke Kennard,11/20/17,3300,0,0,0,21700273,11/24/17,1628379,DET,203,8,0,OKC
21700273,21700273-201229,201229,?,14.1875,6.389383284,8.25,23.75,18.25,3500,3500,3500,Anthony Tolliver,201,11.07,14.39,-3.32,Anthony Tolliver,11/20/17,3500,0,0,0,21700273,11/24/17,201229,DET,203,8,0,OKC
21700273,21700273-202340,202340,?,26.8125,8.929191943,15.5,40.5,31.75,6100,6100,6100,Avery Bradley,99,26.58,26.72,-0.14,Avery Bradley,11/20/17,6100,1.7,100,1.7,21700273,11/24/17,202340,DET,203,8,0,OKC
21700273,21700273-202699,202699,?,26.75,6.072478901,20.25,35.75,32.25,6500,6500,6500,Tobias Harris,23,29.63,30.54,-0.91,Tobias Harris,11/20/17,6500,4.8,300,4.8,21700273,11/24/17,202699,DET,203,8,0,OKC
21700273,21700273-203518,203518,?,8.5,3.885067567,2,12.25,15.75,3400,3400,3400,Alex Abrines,129,8.2,8.32,-0.12,Alex Abrines,11/22/17,3400,0,0,0,21700273,11/24/17,203518,OKC,203,-8,1,DET
21700273,21700273-1628390,1628390,?,0,0,0,0,3,3000,3000,3000,Terrance Ferguson,185,1.55,1.14,0.41,Terrance Ferguson,11/22/17,3000,0,0,0,21700273,11/24/17,1628390,OKC,203,-8,1,DET
21700273,21700273-201566,201566,?,55.125,13.58365286,38.75,70,36.5,10600,10600,10600,Russell Westbrook,94,59.85,50.57,9.28,Russell Westbrook,11/22/17,10600,1.9,200,1.9,21700273,11/24/17,201566,OKC,203,-8,1,DET
21700273,21700273-202335,202335,?,6.1875,4.32425933,-0.5,10.25,12.5,3100,3100,3100,Patrick Patterson,164,7.24,7.35,-0.11,Patrick Patterson,11/22/17,3100,0,0,0,21700273,11/24/17,202335,OKC,203,-8,1,DET
21700273,21700273-203460,203460,?,12.4375,2.906753989,8,15.5,26,3300,3300,3300,Andre Roberson,211,17.22,13.09,4.13,Andre Roberson,11/22/17,3300,0,0,0,21700273,11/24/17,203460,OKC,203,-8,1,DET
21700273,21700273-101109,101109,?,13,0.58630197,12,13.5,16.75,3300,3300,3300,Raymond Felton,159,11.25,14.74,-3.49,Raymond Felton,11/22/17,3300,0,0,0,21700273,11/24/17,101109,OKC,203,-8,1,DET
21700273,21700273-203500,203500,?,27.75,5.151860505,20.75,33,32.6667,5200,5200,5200,Steven Adams,8,29.11,29.27,-0.16,Steven Adams,11/22/17,5200,-7.1,-400,-7.1,21700273,11/24/17,203500,OKC,203,-8,1,DET
21700273,21700273-1626177,1626177,?,2.6875,2.079475595,1.25,6.25,5,3400,3400,3400,Dakari Johnson,246,1.43,6.72,-5.29,Dakari Johnson,11/22/17,3400,0,0,0,21700273,11/24/17,1626177,OKC,203,-8,1,DET
