max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Neural Network,Random Forest
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3900.0,3700.0,3700.0,3700.0,0.0,23.625,2.125,21.5,25.75,1626181.0,SG/SF,TOR,209.0,-7.0,0,ATL,,21700280.0,Norman Powell,14.25,17.644387779070513,16.678829365079366
3700.0,3800.0,3483.3333,3000.0,343.592135468,11.4583333333,5.78326729069,6.25,23.5,1628384.0,SF/PF,TOR,209.0,-7.0,0,ATL,,21700280.0,OG Anunoby,8.25,9.334711848063904,7.366369047619048
4900.0,5300.0,5140.0,5000.0,101.980390272,20.2,2.56612548407,15.25,22.75,201586.0,PF/C,TOR,209.0,-7.0,0,ATL,,21700280.0,Serge Ibaka,15.75,21.583586605458837,23.240208333333335
3400.0,3700.0,3540.0,3500.0,80.0,9.75,4.51386752132,4.75,18.0,1627098.0,PG/SG,ATL,209.0,7.0,1,TOR,,21700280.0,Malcolm Delaney,8.75,10.961890559264077,12.107638888888888
3300.0,3400.0,3250.0,3000.0,180.277563773,12.125,8.91715341351,1.5,28.5,1628463.0,PF,ATL,209.0,7.0,1,TOR,,21700280.0,Tyler Cavanaugh,10.25,12.377699335188673,9.654821428571427
4800.0,5300.0,5050.0,4600.0,221.735578261,29.875,12.1481737311,17.5,55.0,203473.0,C,ATL,209.0,7.0,1,TOR,,21700280.0,Dewayne Dedmon,24.0,28.847687736103893,25.35952380952381
3700.0,3900.0,3850.0,3800.0,50.0,10.875,6.63442725486,2.75,20.0,101141.0,SF/PF,ATL,209.0,7.0,1,TOR,,21700280.0,Ersan Ilyasova,12.5,13.226892499134603,15.69126984126984
4900.0,5300.0,5066.6667,4800.0,159.861050777,26.125,9.38388467889,10.75,41.25,1627752.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,Taurean Prince,19.75,24.589647506660015,25.4675
5200.0,4800.0,4650.0,4400.0,138.443731049,28.375,7.11622266375,20.0,39.5,1628381.0,PF/C,ATL,209.0,7.0,1,TOR,,21700280.0,John Collins,29.75,23.624464224561414,25.47714285714286
4000.0,4100.0,3916.6667,3800.0,106.718737291,23.8333333333,7.56040489803,9.5,31.25,201158.0,SG,ATL,209.0,7.0,1,TOR,,21700280.0,Marco Belinelli,21.75,18.78821221086357,23.717499999999998
5300.0,5500.0,5233.3333,4900.0,221.108319357,28.875,9.13754844948,19.25,44.5,203145.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,Kent Bazemore,29.0,29.23305952604577,24.413690476190474
3000.0,3000.0,3000.0,3000.0,0.0,4.375,3.90712490202,0.0,8.75,1627761.0,SG/SF,ATL,209.0,7.0,1,TOR,,21700280.0,DeAndre' Bembry,7.25,8.500655928294176,6.543928571428571
6700.0,7100.0,6683.3333,6300.0,240.947204913,34.75,6.70198975429,23.0,43.0,203471.0,PG,ATL,209.0,7.0,1,TOR,,21700280.0,Dennis Schroder,39.5,35.067756646118276,37.36416666666666
3000.0,3000.0,3000.0,3000.0,0.0,11.25,5.25,6.0,16.5,203705.0,PG,ATL,209.0,7.0,1,TOR,,21700280.0,Josh Magette,9.5,11.628818643122788,11.177380952380952
6300.0,6700.0,6516.6667,6300.0,121.335164821,31.5416666667,6.29056281707,20.75,40.25,1627759.0,SG/SF,BOS,205.0,-4.0,0,IND,,21700281.0,Jaylen Brown,28.5,30.958211132615688,28.232222222222227
4300.0,5300.0,4616.6667,4400.0,323.608130649,16.375,12.1481737311,2.5,38.0,1626179.0,PG/SG,BOS,205.0,-4.0,0,IND,,21700281.0,Terry Rozier,18.25,19.544592537541877,17.63888888888889
3000.0,3000.0,3000.0,3000.0,0.0,4.0,0.0,4.0,4.0,1627824.0,PF/C,BOS,205.0,-4.0,0,IND,,21700281.0,Guerschon Yabusele,4.0,9.2205231632161,3.5476190476190483
3200.0,3200.0,3200.0,3200.0,0.0,5.125,5.21765831895,0.0,15.25,1628400.0,SF/PF,BOS,205.0,-4.0,0,IND,,21700281.0,Semi Ojeleye,7.5,11.231605883136307,9.158630952380951
5100.0,6300.0,5550.0,5100.0,373.050488093,20.4166666667,5.29478254721,13.75,31.25,203935.0,SG/SF,BOS,205.0,-4.0,0,IND,,21700281.0,Marcus Smart,23.5,23.981591126419865,20.272589285714286
3000.0,3000.0,3000.0,3000.0,0.0,2.5,3.0,-0.5,5.5,1627846.0,PF,BOS,205.0,-4.0,0,IND,,21700281.0,Abdel Nader,4.0,7.839180509652942,8.276428571428571
