max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
4000,3700,3575.0000,3500,82.91561975888494,17.375,3.9863046797754937,11.75,21.5,202718,21700274,Chandler Parsons,MEM,211,7,0,DEN
6000,6000,5775.0000,5500,178.53571071357132,24.5625,11.304555221237145,11.25,41.5,203115,21700274,Will Barton,DEN,211,-7,1,MEM
4300,4700,4566.6667,4500,94.2809041582064,19.5,5.834523688071432,11.25,23.75,203210,21700274,JaMychal Green,MEM,211,7,0,DEN
3500,3500,3500.0000,3500,0,8.875,6.016903273279371,-1.5,13.25,203463,21700274,Ben McLemore,MEM,211,7,0,DEN
3600,3700,3650.0000,3600,49.99999999999994,15.3125,9.889032750982272,-0.5,26.5,203486,21700274,Mason Plumlee,DEN,211,-7,1,MEM
3600,3800,3700.0000,3600,100.00000000000006,8.5,5.108204185425637,1.25,15.25,203516,21700274,James Ennis III,MEM,211,7,0,DEN
5100,5400,5300.0000,5200,81.64965809277261,31.583333333333332,3.4721111093332766,26.75,34.75,203914,21700274,Gary Harris,DEN,211,-7,1,MEM
8600,9200,8700.0000,8100,463.6809247747854,31.125,10.768153277140886,16,43.5,203999,21700274,Nikola Jokic,DEN,211,-7,1,MEM
3000,3000,3000.0000,3000,0,1.5,0,1.5,1.5,2210,21700274,Richard Jefferson,DEN,211,-7,1,MEM
7800,8100,7850.0000,7500,229.12878474779194,38.3125,6.345212269892946,29.25,44.75,1626164,21700275,Devin Booker,PHX,228,7,1,NOP
3400,3400,3400.0000,3400,0,14.9375,7.321575564726489,7.5,22.75,1627733,21700275,Dragan Bender,PHX,228,7,1,NOP
3800,4100,4000.0000,3900,70.71067811865476,15.9375,4.780739351815784,9.25,21.5,1627737,21700275,Marquese Chriss,PHX,228,7,1,NOP
4100,4200,4075.0000,3700,216.50635094610962,19.6875,6.739285477704591,14,30.75,1627755,21700275,Tyler Ulis,PHX,228,7,1,NOP
3300,3300,3300.0000,3300,0,7.833333333333333,5.539003119294622,0,11.75,1627767,21700275,Cheick Diallo,NOP,228,-7,0,PHX
3000,3000,3000.0000,3000,0,3.375,1.375,2,4.75,1627883,21700275,Jalen Jones,NOP,228,-7,0,PHX
3600,3800,3600.0000,3500,122.47448713915895,19.5625,6.9267935403042005,10.25,29.25,1628367,21700275,Josh Jackson,PHX,228,7,1,NOP
3000,3000,3000.0000,3000,0,1.5,0,1.5,1.5,1628429,21700275,Charles Cooke,NOP,228,-7,0,PHX
