Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
SG/SF,Norman Powell,3700,TOR@IND 11/24/2017 08:00PM ET,16.923,TOR,21.5,14.5,16.54564437,17.5925
SG/SF,E'Twaun Moore,3700,NO@PHO 11/24/2017 09:00PM ET,21.097,NO,19.1875,19,20.17955676,20.58650794
SF/PF,Jeff Green,3700,CHA@CLE 11/24/2017 08:00PM ET,17.25,CLE,15.375,16.5,20.6451738,18.18125
PG,Ish Smith,3700,DET@OKC 11/24/2017 08:00PM ET,18.588,DET,14.625,20.75,17.97685939,16.50922619
PF/C,Gorgui Dieng,3700,MIA@MIN 11/24/2017 08:00PM ET,13.65,MIN,7.375,11.25,10.75000763,11.92011905
PG,Cory Joseph,3600,TOR@IND 11/24/2017 08:00PM ET,19.639,IND,20.875,14.25,20.39567665,20.13892857
SG/SF,Lance Stephenson,3600,TOR@IND 11/24/2017 08:00PM ET,16.958,IND,20.5,14.25,18.91864386,14.68958333
SG/SF,Josh Jackson,3600,NO@PHO 11/24/2017 09:00PM ET,17.645,PHO,19.125,21,17.98282464,18.72410714
PG/SG,Jameer Nelson,3600,NO@PHO 11/24/2017 09:00PM ET,18.344,NO,19.1875,17,17.24759401,15.59873106
SF/PF,Omri Casspi,3600,CHI@GS 11/24/2017 10:30PM ET,12.75,GS,15.6875,10.5,13.66616591,12.38285714
PG/SG,Shaun Livingston,3600,CHI@GS 11/24/2017 10:30PM ET,12.234,GS,9.8125,12.75,14.03060544,13.83623016
SG/SF,Kyle Korver,3600,CHA@CLE 11/24/2017 08:00PM ET,17.389,CLE,17.25,15,21.49825362,17.63855159
C,Cody Zeller,3600,CHA@CLE 11/24/2017 08:00PM ET,18.019,CHA,14.5,16.25,18.30225974,24.42363095
PG/SG,Malik Monk,3600,CHA@CLE 11/24/2017 08:00PM ET,14.283,CHA,3.666666667,8,11.97632851,8.890833333
PG/SG,Iman Shumpert,3600,CHA@CLE 11/24/2017 08:00PM ET,13.208,CLE,#N/A,#N/A,#N/A,#N/A
PF/C,Bam Adebayo,3600,MIA@MIN 11/24/2017 08:00PM ET,9.5,MIA,2.625,6.5,6.504753695,5.751577381
SG,Jamal Crawford,3600,MIA@MIN 11/24/2017 08:00PM ET,15.444,MIN,13.8,13.25,11.62421655,17.25125
PF/C,Mason Plumlee,3600,MEM@DEN 11/24/2017 09:00PM ET,16.903,DEN,21.0625,17,17.05781064,18.68392857
SF/PF,Juancho Hernangomez,3600,MEM@DEN 11/24/2017 09:00PM ET,7.964,DEN,#N/A,#N/A,#N/A,#N/A
SG/SF,James Ennis III,3600,MEM@DEN 11/24/2017 09:00PM ET,15.559,MEM,5.625,8.75,14.58122601,14.59675595
SF/PF,Doug McDermott,3500,NY@ATL 11/24/2017 07:30PM ET,14.926,NY,17.75,14.5,15.9434304,11.21700397
C,Mike Muscala,3500,NY@ATL 11/24/2017 07:30PM ET,16.333,ATL,#N/A,#N/A,#N/A,#N/A
PF/C,Kyle O'Quinn,3500,NY@ATL 11/24/2017 07:30PM ET,18.015,NY,13.6875,18.5,18.69690233,19.77232143
C,Aron Baynes,3500,ORL@BOS 11/24/2017 07:30PM ET,14.882,BOS,7.85,10,16.13875954,15.3359127
PG,Fred VanVleet,3500,TOR@IND 11/24/2017 08:00PM ET,12.015,TOR,17.9,11.25,14.67668422,14.5453869
PF/C,Al Jefferson,3500,TOR@IND 11/24/2017 08:00PM ET,16.725,IND,#N/A,#N/A,#N/A,#N/A
PG/SG,Delon Wright,3500,TOR@IND 11/24/2017 08:00PM ET,16.536,TOR,#N/A,#N/A,#N/A,#N/A
SF/PF,Dante Cunningham,3500,NO@PHO 11/24/2017 09:00PM ET,12.639,NO,11.3125,13,13.32510051,14.67541667
PF/C,David West,3500,CHI@GS 11/24/2017 10:30PM ET,15.676,GS,14.1875,14.5,17.69880182,14.5975
