max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS) ,min(t2.DKFPS),max(t2.DKFPS),team    ,ou        ,odds      ,home    ,OPP     ,Target    ,player_id ,game_id   ,DISPLAY_FIRST_LAST     ,AdaBoost  ,Neural Network    ,Random Forest
continuous    ,continuous    ,continuous    ,continuous    ,continuous       ,continuous   ,continuous    ,continuous   ,continuous   ,discrete,continuous,continuous,discrete,discrete,continuous,continuous,continuous,string                 ,continuous,continuous        ,continuous
              ,              ,              ,              ,                 ,             ,              ,             ,             ,        ,          ,          ,        ,        ,class     ,meta      ,meta      ,meta                   ,meta      ,meta              ,meta
3300.0        ,3300.0        ,3300.0        ,3300.0        ,0.0              ,8.35         ,6.70186541196 ,2.5          ,18.5         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1628464.0 ,21700269.0,Daniel Theis           ,6.75      ,10.20456060222031 ,10.055208333333335
6900.0        ,7600.0        ,7480.0        ,7200.0        ,160.0            ,31.45        ,4.31682753883 ,24.5         ,36.25        ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,201143.0  ,21700269.0,Al Horford             ,30.25     ,37.37078003886785 ,28.751666666666665
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,7.33333333333,7.45076431575 ,0.75         ,17.75        ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,201167.0  ,21700269.0,Arron Afflalo          ,11.0      ,9.34808224317271  ,8.872619047619049
3100.0        ,3100.0        ,3050.0        ,3000.0        ,50.0             ,17.8125      ,2.13874232903 ,15.25        ,20.5         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,201578.0  ,21700269.0,Marreese Speights      ,12.0      ,14.190233937280674,14.235714285714286
8300.0        ,8500.0        ,8325.0        ,8100.0        ,178.535710714    ,45.3125      ,10.6688433651 ,35.25        ,62.75        ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,202681.0  ,21700269.0,Kyrie Irving           ,37.25     ,39.40002758752083 ,37.578789682539686
3200.0        ,3200.0        ,3200.0        ,3200.0        ,0.0              ,16.4375      ,3.78886114156 ,11.0         ,21.25        ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,202687.0  ,21700269.0,Bismack Biyombo        ,13.0      ,14.117621601344375,12.427916666666667
4900.0        ,5000.0        ,4920.0        ,4800.0        ,74.8331477355    ,25.2         ,6.86913386098 ,14.75        ,36.0         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,202694.0  ,21700269.0,Marcus Morris          ,23.25     ,26.689157274244764,28.987797619047615
6600.0        ,7300.0        ,7075.0        ,6800.0        ,178.535710714    ,34.25        ,9.77400890116 ,22.5         ,49.25        ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,202696.0  ,21700269.0,Nikola Vucevic         ,33.25     ,32.848549153146735,34.72708333333334
3400.0        ,3700.0        ,3500.0        ,3400.0        ,141.421356237    ,10.8333333333,3.3685638219  ,6.75         ,15.0         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,202714.0  ,21700269.0,Shelvin Mack           ,13.75     ,12.637212780572582,15.005833333333333
3700.0        ,3700.0        ,3625.0        ,3500.0        ,82.9156197589    ,17.375       ,1.92435053979 ,14.25        ,19.5         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,203082.0  ,21700269.0,Terrence Ross          ,12.75     ,16.278801053958816,14.822242063492064
5900.0        ,6400.0        ,6300.0        ,6100.0        ,122.474487139    ,25.8125      ,4.56335608407 ,18.25        ,30.25        ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,203095.0  ,21700269.0,Evan Fournier          ,26.75     ,30.058710577062634,29.555
3500.0        ,4500.0        ,3820.0        ,3500.0        ,354.400902933    ,9.55         ,3.61386219992 ,5.5          ,14.5         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,203382.0  ,21700269.0,Aron Baynes            ,15.75     ,11.425292718182376,16.576249999999998
3200.0        ,3800.0        ,3425.0        ,3200.0        ,248.746859277    ,3.6875       ,2.4709246751  ,0.0          ,6.5          ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,203499.0  ,21700269.0,Shane Larkin           ,5.25      ,9.299466787629322 ,6.3670833333333325
4200.0        ,4600.0        ,4525.0        ,4400.0        ,82.9156197589    ,18.75        ,6.05959982177 ,10.0         ,25.0         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,203613.0  ,21700269.0,Jonathon Simmons       ,23.75     ,19.79269069694401 ,22.256666666666668
5700.0        ,7000.0        ,6500.0        ,6100.0        ,367.423461417    ,19.1875      ,4.19960935683 ,13.0         ,24.75        ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,203901.0  ,21700269.0,Elfrid Payton          ,29.75     ,28.14652971542827 ,35.496428571428574
6500.0        ,7400.0        ,7175.0        ,6800.0        ,227.760839479    ,28.875       ,3.97845761571 ,23.75        ,34.5         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,203932.0  ,21700269.0,Aaron Gordon           ,30.5      ,31.88297994776807 ,30.28805555555556
5100.0        ,6300.0        ,5800.0        ,5500.0        ,334.664010614    ,24.4         ,8.78293800502 ,13.75        ,37.75        ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,203935.0  ,21700269.0,Marcus Smart           ,29.0      ,28.093233937443195,23.176636904761907
3800.0        ,4000.0        ,3875.0        ,3800.0        ,82.9156197589    ,17.5         ,5.61248608016 ,8.5          ,23.5         ,CHA     ,221.0     ,5.0       ,0       ,CLE     ,          ,101107.0  ,21700270.0,Marvin Williams        ,19.5      ,17.103566567852656,23.51357142857143
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,17.0         ,6.69654761799 ,6.25         ,23.0         ,CLE     ,221.0     ,-5.0      ,1       ,CHA     ,          ,101112.0  ,21700270.0,Channing Frye          ,14.0      ,14.967612865326267,12.766666666666667
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,13.75        ,10.75         ,3.0          ,24.5         ,CLE     ,221.0     ,-5.0      ,1       ,CHA     ,          ,101181.0  ,21700270.0,Jose Calderon          ,20.25     ,14.50829063345742 ,20.188194444444445
3900.0        ,4000.0        ,4000.0        ,4000.0        ,0.0              ,20.125       ,8.625         ,10.5         ,33.75        ,CHA     ,221.0     ,5.0       ,0       ,CLE     ,          ,1626163.0 ,21700270.0,Frank Kaminsky         ,18.25     ,19.33442928904047 ,18.31263888888889
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,6.16666666667,6.40746092891 ,0.0          ,15.0         ,CLE     ,221.0     ,-5.0      ,1       ,CHA     ,          ,1626224.0 ,21700270.0,Cedi Osman             ,8.5       ,14.240008514793077,7.928511904761905
3600.0        ,4100.0        ,3833.3333     ,3600.0        ,205.480466766    ,3.66666666667,3.29983164554 ,0.0          ,8.0          ,CHA     ,221.0     ,5.0       ,0       ,CLE     ,          ,1628370.0 ,21700270.0,Malik Monk             ,4.0       ,9.097543582892602 ,7.287529761904762
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,5.5625       ,2.70632938683 ,1.5          ,9.0          ,CHA     ,221.0     ,5.0       ,0       ,CLE     ,          ,1628407.0 ,21700270.0,Dwayne Bacon           ,8.5       ,9.245087481979178 ,5.87702380952381
3700.0        ,4400.0        ,4125.0        ,4000.0        ,163.935963108    ,16.0625      ,4.14342476099 ,12.25        ,22.75        ,CLE     ,221.0     ,-5.0      ,1       ,CHA     ,          ,201145.0  ,21700270.0,Jeff Green             ,17.0      ,15.673073895168663,18.692440476190477
7700.0        ,7600.0        ,7475.0        ,7400.0        ,82.9156197589    ,34.9375      ,11.4351090397 ,15.5         ,45.0         ,CLE     ,221.0     ,-5.0      ,1       ,CHA     ,          ,201567.0  ,21700270.0,Kevin Love             ,38.5      ,33.36116023427446 ,39.16160714285714
