Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PG/SG,Avery Bradley,6100,DET@OKC 11/24/2017 08:00PM ET,26.721,DET,28.75,25.25,27.17085427,25.11041667,0
PG,Darren Collison,6000,TOR@IND 11/24/2017 08:00PM ET,28.931,IND,30.55,32.5,25.36199366,25.72547619,1
SF/PF,Thaddeus Young,6000,TOR@IND 11/24/2017 08:00PM ET,27.556,IND,24.35,28,24.81543778,27.28517857,1
PG,Reggie Jackson,6000,DET@OKC 11/24/2017 08:00PM ET,29.368,DET,22.7,26.5,26.95111887,26.73208333,0
SG/SF,Will Barton,6000,MEM@DEN 11/24/2017 09:00PM ET,29.208,DEN,24.5625,30,25.03062536,24.7225,1
SG/SF,Evan Fournier,5900,ORL@BOS 11/24/2017 07:30PM ET,31.181,ORL,25.8125,26.75,30.05871058,29.555,0
PF,James Johnson,5800,MIA@MIN 11/24/2017 08:00PM ET,27.266,MIA,21.375,25,27.84981979,28.3515873,0
SF/PF,Jayson Tatum,5700,ORL@BOS 11/24/2017 07:30PM ET,27.395,BOS,27.65,27.5,31.45684477,28.32660714,1
PG,Elfrid Payton,5700,ORL@BOS 11/24/2017 07:30PM ET,25.694,ORL,19.1875,29.75,28.14652972,35.49642857,0
PF/C,Domantas Sabonis,5700,TOR@IND 11/24/2017 08:00PM ET,28.609,IND,24.25,28.5,23.88544012,24.97166667,1
SG/SF,Justin Holiday,5600,CHI@GS 11/24/2017 10:30PM ET,27.317,CHI,31.08333333,25.25,32.06207845,23.20694444,0
SG/SF,Dion Waiters,5600,MIA@MIN 11/24/2017 08:00PM ET,26.667,MIA,24,24.5,27.80183366,27.00994048,0
PG/SG,Kris Dunn,5500,CHI@GS 11/24/2017 10:30PM ET,27.479,CHI,31.875,23,32.16145544,22.39017857,0
SG/SF,Kent Bazemore,5400,NY@ATL 11/24/2017 07:30PM ET,28.125,ATL,29.0625,28.25,25.94452074,25.23386905,1
SG/SF,Denzel Valentine,5400,CHI@GS 11/24/2017 10:30PM ET,23.172,CHI,30.875,29,30.85417922,23.58020833,0
PG,Mario Chalmers,5300,MEM@DEN 11/24/2017 09:00PM ET,21.221,MEM,30.1875,20.5,29.22579632,16.90017857,0
SG/SF,Taurean Prince,5200,NY@ATL 11/24/2017 07:30PM ET,26.625,ATL,29.625,23.25,25.8162197,23.68479167,1
PF,Bobby Portis,5200,CHI@GS 11/24/2017 10:30PM ET,27.313,CHI,20,19.25,30.03060683,27.40577381,0
PG/SG,Dwyane Wade,5200,CHA@CLE 11/24/2017 08:00PM ET,23.794,CLE,33.625,23.75,20.76841106,21.51369048,1
C,Steven Adams,5200,DET@OKC 11/24/2017 08:00PM ET,29.268,OKC,25.125,25,23.17026038,30.181875,1
PG/SG,Jamal Murray,5200,MEM@DEN 11/24/2017 09:00PM ET,22.431,DEN,26.8125,22,23.3777885,24.25458333,1
C,Dewayne Dedmon,5100,NY@ATL 11/24/2017 07:30PM ET,25.292,ATL,30.1875,22.75,24.99374702,25.49119048,1
SG/SF,Marcus Smart,5100,ORL@BOS 11/24/2017 07:30PM ET,25.588,BOS,24.4,29,28.09323394,23.1766369,1
SG/SF,Jeremy Lamb,5100,CHA@CLE 11/24/2017 08:00PM ET,30.25,CHA,27.1875,31,23.69426581,27.34535714,0
