max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3400.0,3400.0,3400.0,3400.0,0.0,8.41666666667,4.70076825872,2.5,15.75,101133.0,C,WAS,202.0,-4.0,1,POR,,21700279.0,Ian Mahinmi,21.0,15.445715525793654,10.055033941335894
3500.0,3500.0,3500.0,3500.0,0.0,5.75,0.0,5.75,5.75,201160.0,PF/C,WAS,202.0,-4.0,1,POR,,21700279.0,Jason Smith,20.0,14.981138392857142,13.426887549177954
4500.0,4800.0,4716.6667,4600.0,68.7184270936,19.0833333333,6.12145589074,11.5,27.0,202693.0,SF/PF,WAS,202.0,-4.0,1,POR,,21700279.0,Markieff Morris,21.0,21.531966145833334,11.589711985866701
6000.0,6300.0,6200.0,6100.0,57.735026919,27.0,7.97391580927,15.75,38.75,203490.0,SF/PF,WAS,202.0,-4.0,1,POR,,21700279.0,Otto Porter,27.25,28.613123139880955,15.170398061602825
3600.0,3600.0,3500.0,3400.0,81.6496580928,11.6666666667,6.84298099434,6.25,26.5,204025.0,PG,WAS,202.0,-4.0,1,POR,,21700279.0,Tim Frazier,20.75,18.27391183035714,11.71788626569253
4900.0,5400.0,5266.6667,5100.0,110.554159679,29.4583333333,8.85580867127,11.75,41.0,101162.0,C,WAS,202.0,-4.0,1,POR,,21700279.0,Marcin Gortat,21.0,25.235695684523815,11.798708617976885
3400.0,3400.0,3400.0,3400.0,0.0,9.20833333333,2.03826246811,5.25,12.0,201975.0,SG,WAS,202.0,-4.0,1,POR,,21700279.0,Jodie Meeks,19.75,15.682173859126985,11.222305144190486
7400.0,8000.0,7583.3333,7200.0,279.384243571,38.1666666667,5.64886911003,33.5,50.0,203078.0,SG,WAS,202.0,-4.0,1,POR,,21700279.0,Bradley Beal,27.25,35.274451546717174,26.340949420444126
3200.0,3200.0,3200.0,3200.0,0.0,7.625,5.625,2.0,13.25,203107.0,PG/SG,WAS,202.0,-4.0,1,POR,,21700279.0,Tomas Satoransky,20.75,14.058401537698414,10.209638930801914
4300.0,4700.0,4516.6667,4400.0,89.7527467856,18.5416666667,6.94084629006,9.5,30.5,1626162.0,SG/SF,WAS,202.0,-4.0,1,POR,,21700279.0,Kelly Oubre Jr.,22.0,22.749348958333332,13.417253132827424
3500.0,3500.0,3375.0,3200.0,108.972473589,13.5,7.08651889153,3.5,21.25,203118.0,PF,WAS,202.0,-4.0,1,POR,,21700279.0,Mike Scott,20.25,17.226072668650794,11.168548329778933
3800.0,3800.0,3700.0,3600.0,100.0,20.5416666667,7.26208284325,9.75,32.5,1627783.0,PF,TOR,209.0,-7.0,0,ATL,,21700280.0,Pascal Siakam,24.75,20.441778273809522,25.191865259121926
8200.0,8400.0,8100.0,7600.0,294.392028878,41.1666666667,10.9636393998,23.75,58.0,201942.0,SG/SF,TOR,209.0,-7.0,0,ATL,,21700280.0,DeMar DeRozan,27.75,32.61677517361112,29.99197349538663
