Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final,NN2,RF2
PF,Trevor Booker,5200,Bkn@Cha 07:00PM ET,28.303,BKN,0,0,22.321,20.421,27.250,0.000,-0.218,10.000,31.200,221.500,12.000,22.250,22.907,11.103
C,Tyson Chandler,5200,Pho@NY 07:30PM ET,26.076,PHO,0,0,24.214,18.015,36.938,0.000,2.654,26.000,31.200,222.500,5.500,31.000,22.233,21.524
PF,Thaddeus Young,5200,Ind@Uta 09:00PM ET,25.940,IND,0,0,27.357,19.710,27.312,0.000,-10.656,1.000,31.200,200.000,7.500,37.250,22.467,22.535
SF,Michael Kidd-Gilchrist,5100,Bkn@Cha 07:00PM ET,23.619,CHA,1,0,26.464,17.193,28.562,0.000,-0.182,30.000,30.600,221.500,-12.000,40.500,25.020,15.965
PG,Patrick Beverley,5100,Hou@Mem 08:00PM ET,27.953,HOU,0,0,30.893,21.317,33.000,0.000,-2.198,7.000,30.600,215.500,-1.500,25.000,22.419,21.016
PF/C,Kyle O'Quinn,5100,Pho@NY 07:30PM ET,18.262,NY,1,0,19.643,10.280,18.500,0.000,1.858,22.000,30.600,222.500,-5.500,3.250,24.163,27.212
PF/C,Derrick Favors,5100,Ind@Uta 09:00PM ET,20.638,UTA,1,0,21.393,13.333,20.562,0.000,-4.350,22.500,30.600,200.000,-7.500,23.750,23.431,22.698
PF,Al-Farouq Aminu,5000,Por@Bos 05:00PM ET,21.723,POR,0,0,25.393,15.929,22.500,0.000,-0.885,25.000,30.000,218.000,8.000,23.750,21.450,19.264
PG,Jeremy Lin,5000,Bkn@Cha 07:00PM ET,30.146,BKN,0,1,27.929,25.472,29.125,0.000,-3014.530,19.000,30.000,221.500,12.000,0.000,22.096,0.731
C,Cody Zeller,5000,Bkn@Cha 07:00PM ET,23.896,CHA,1,0,21.429,19.060,25.062,0.000,-17.436,30.000,30.000,221.500,-12.000,29.750,24.542,16.177
C,Pau Gasol,5000,SA@Cle 08:30PM ET,28.686,SA,0,1,32.357,21.455,24.062,0.000,-2897.833,6.000,30.000,211.500,2.500,0.000,21.670,15.989
C,Greg Monroe,4900,Mil@Mia 07:30PM ET,25.341,MIL,0,0,22.893,16.512,16.625,2.534,-1.371,18.000,29.400,206.000,1.500,15.500,21.117,23.603
PF/C,Montrezl Harrell,4800,Hou@Mem 08:00PM ET,18.959,HOU,0,0,23.107,10.224,25.250,0.000,-1.852,3.000,28.800,215.500,-1.500,10.500,20.450,13.886
PF,David Lee,4800,SA@Cle 08:30PM ET,16.402,SA,0,0,13.107,11.865,18.125,0.000,-0.035,14.000,28.800,211.500,2.500,35.250,19.604,16.587
SF/PF,Dario Saric,4700,Phi@Atl 07:00PM ET,20.835,PHI,0,0,25.857,13.238,23.375,0.000,-4.687,20.250,28.200,198.500,10.000,13.000,19.831,22.957
PG,Emmanuel Mudiay,4700,LAC@Den 09:00PM ET,24.663,DEN,1,1,28.143,14.650,30.812,0.000,-2463.544,2.500,28.200,222.500,-5.000,9.500,22.550,23.014
PF,Marvin Williams,4700,Bkn@Cha 07:00PM ET,22.189,CHA,1,0,23.607,16.111,23.688,0.000,-0.171,29.000,28.200,221.500,-12.000,19.000,23.060,18.370
PF,Ryan Anderson,4700,Hou@Mem 08:00PM ET,23.824,HOU,0,0,30.036,16.670,18.062,0.000,-26.096,5.000,28.200,215.500,-1.500,0.000,20.245,23.698
C,Joakim Noah,4700,Pho@NY 07:30PM ET,23.164,NY,1,1,28.786,15.557,27.938,0.000,-2313.811,24.000,28.200,222.500,-5.500,23.750,22.514,23.625
PF/C,Kelly Olynyk,4600,Por@Bos 05:00PM ET,19.208,BOS,1,0,21.000,11.847,27.062,0.000,-18.582,29.000,27.600,218.000,-8.000,19.500,21.753,24.853
PF,Nikola Mirotic,4600,Sac@Chi 09:00PM ET,20.987,CHI,1,0,19.929,13.395,16.438,0.000,-3.432,23.500,27.600,205.000,-6.500,21.250,21.241,23.000
PF,JaMychal Green,4600,Hou@Mem 08:00PM ET,22.949,MEM,1,0,22.714,16.087,22.438,0.000,0.818,15.500,27.600,215.500,1.500,24.750,21.498,23.163
