Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NN,RF,Final
PG,D.J. Augustin,3500,Chi@Orl 07:00PM ET,16.152,ORL,1,1,16.714,11.140,15.625,0.000,-1629.206,11.000,21.000,206.500,2.500,13.515,15.859,0.000
SG,Danny Green,3500,SA@Tor 07:00PM ET,17.583,SA,0,0,15.357,11.281,17.688,0.000,-1586.602,2.000,21.000,206.000,-3.000,13.095,18.226,25.250
C,Dewayne Dedmon,3500,SA@Tor 07:00PM ET,15.467,SA,0,0,12.321,8.819,16.188,0.000,-1395.664,7.000,21.000,206.000,-3.000,13.071,17.299,14.500
PG,Jerian Grant,3400,Chi@Orl 07:00PM ET,11.022,CHI,0,0,14.393,4.667,15.312,0.000,-2.537,15.000,20.400,206.500,-2.500,9.118,7.970,9.750
SG,Nik Stauskas,3400,LAC@Phi 07:00PM ET,16.563,PHI,1,0,13.643,10.963,13.875,0.000,-1494.799,7.000,20.400,204.500,4.500,12.983,16.728,14.750
SG/SF,Norman Powell,3400,SA@Tor 07:00PM ET,10.931,TOR,1,0,13.607,5.279,8.188,0.000,-986.359,10.000,20.400,206.000,3.000,9.639,10.098,30.000
PG,Tyus Jones,3400,Min@Pho 09:00PM ET,9.170,MIN,0,0,6.750,2.042,10.062,0.000,0.292,26.000,20.400,213.000,1.000,8.470,6.660,0.000
C,Alex Len,3400,Min@Pho 09:00PM ET,20.060,PHO,1,0,13.857,13.159,12.562,0.000,0.638,14.500,20.400,213.000,-1.000,14.026,11.636,23.500
SG/SF,Joe Johnson,3300,Uta@Den 09:00PM ET,15.428,UTA,0,0,17.179,7.940,16.375,0.000,-2.889,23.750,19.800,211.000,2.500,12.460,15.707,11.500
SG/SF,Kelly Oubre Jr.,3300,Bos@Was 07:00PM ET,13.673,WAS,1,0,11.821,7.812,17.312,0.000,0.956,14.500,19.800,217.000,1.000,11.468,16.812,19.750
PF,Patrick Patterson,3300,SA@Tor 07:00PM ET,19.197,TOR,1,1,19.071,13.219,10.125,0.000,-1938.085,2.000,19.800,206.000,3.000,13.389,14.780,19.500
PF,Marquese Chriss,3300,Min@Pho 09:00PM ET,14.551,PHO,1,0,17.321,9.470,15.812,0.000,-1309.127,10.000,19.800,213.000,-1.000,12.162,13.908,12.000
SF,Mario Hezonja,3200,Chi@Orl 07:00PM ET,6.561,ORL,1,0,7.821,2.079,12.750,0.000,-592.000,8.500,19.200,206.500,2.500,4.861,16.228,13.000
PG/SG,Brandon Knight,3200,Min@Pho 09:00PM ET,19.500,PHO,1,0,16.464,12.548,11.688,0.000,0.620,14.000,19.200,213.000,-1.000,12.790,9.856,16.000
PG,Raul Neto,3000,Uta@Den 09:00PM ET,5.594,UTA,0,0,9.250,1.577,5.375,0.000,-1.048,29.000,18.000,211.000,2.500,3.031,3.688,0.000
PG,Dante Exum,3000,Uta@Den 09:00PM ET,11.750,UTA,0,0,8.857,5.385,8.562,0.000,-2.201,29.000,18.000,211.000,2.500,7.957,7.804,0.000
