Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,LastGame,O/U,odds
PF,Jordan Mickey,3000,Hou@Bos 07:30PM ET,5.692,BOS,1,0,5.857,1.850,6.562,0.000,15.500,18.000,2.000,229.000,4.000
C,Tyler Zeller,3000,Hou@Bos 07:30PM ET,10.454,BOS,1,1,3.893,3.650,3.125,0.000,22.000,18.000,8.000,229.000,4.000
PG,Chasson Randle,3000,Phi@Mil 08:00PM ET,8.500,PHI,0,0,8.500,4.250,8.500,0.000,4.000,18.000,3.000,207.000,11.000
SG/SF,Timothe Luwawu-Cabarrot,3000,Phi@Mil 08:00PM ET,6.408,PHI,0,0,9.036,2.696,9.938,0.000,22.500,18.000,11.750,207.000,11.000
SG,Jason Terry,3000,Phi@Mil 08:00PM ET,8.572,MIL,1,0,11.929,4.382,7.688,0.000,18.500,18.000,19.250,207.000,-11.000
SG,Rashad Vaughn,3000,Phi@Mil 08:00PM ET,7.316,MIL,1,0,10.036,2.125,5.625,0.000,18.500,18.000,2.000,207.000,-11.000
PF,Mirza Teletovic,3000,Phi@Mil 08:00PM ET,12.542,MIL,1,0,10.643,6.569,3.688,0.000,5.000,18.000,6.000,207.000,-11.000
PF,Thon Maker,3000,Phi@Mil 08:00PM ET,4.513,MIL,1,0,6.850,1.886,4.938,0.000,5.000,18.000,9.750,207.000,-11.000
C,Miles Plumlee,3000,Phi@Mil 08:00PM ET,6.092,MIL,1,0,9.179,1.847,7.375,0.000,27.000,18.000,18.000,207.000,-11.000
PG,Randy Foye,3000,Mia@Bkn 07:30PM ET,12.153,BKN,1,0,8.107,7.162,14.875,0.000,8.000,18.000,9.250,215.000,3.000
SG/SF,Rodney McGruder,3000,Mia@Bkn 07:30PM ET,13.774,MIA,0,0,13.464,7.974,10.500,0.000,30.000,18.000,9.250,215.000,-3.000
SF,Joe Harris,3000,Mia@Bkn 07:30PM ET,15.806,BKN,1,1,10.786,9.816,14.312,0.000,10.500,18.000,16.000,215.000,3.000
PF,Josh McRoberts,3000,Mia@Bkn 07:30PM ET,13.523,MIA,0,1,15.393,8.917,9.188,0.000,30.000,18.000,10.000,215.000,-3.000
PF,Luke Babbitt,3000,Mia@Bkn 07:30PM ET,9.375,MIA,0,0,12.536,3.653,12.562,0.000,30.000,18.000,23.500,215.000,-3.000
PF,Quincy Acy,3000,Mia@Bkn 07:30PM ET,8.769,BKN,1,0,6.667,3.344,14.812,0.000,7.000,18.000,1.500,215.000,3.000
PF,Derrick Williams,3000,Mia@Bkn 07:30PM ET,12.326,MIA,0,0,14.857,7.769,11.312,0.000,30.000,18.000,5.500,215.000,-3.000
PF,Chris McCullough,3000,Mia@Bkn 07:30PM ET,4.896,BKN,1,0,2.000,2.139,2.938,0.000,7.000,18.000,3.250,215.000,3.000
C,Luis Scola,3000,Mia@Bkn 07:30PM ET,12.227,BKN,1,0,9.179,5.768,8.812,0.000,16.000,18.000,2.750,215.000,3.000
C,Udonis Haslem,3000,Mia@Bkn 07:30PM ET,5.679,MIA,0,0,7.750,1.321,10.750,0.000,29.000,18.000,3.500,215.000,-3.000
PG,Malcolm Delaney,3000,Atl@Chi 08:00PM ET,13.228,ATL,0,0,14.107,7.658,13.688,0.000,9.500,18.000,13.000,202.500,-1.500
PG,Isaiah Canaan,3000,Atl@Chi 08:00PM ET,10.768,CHI,1,0,7.179,5.703,3.312,0.000,23.000,18.000,0.750,202.500,1.500
SG/SF,Paul Zipser,3000,Atl@Chi 08:00PM ET,6.000,CHI,1,0,6.143,1.688,11.812,0.000,23.000,18.000,7.750,202.500,1.500
SF,Mike Dunleavy,3000,Atl@Chi 08:00PM ET,10.075,ATL,0,0,9.536,6.028,10.062,0.000,8.000,18.000,8.250,202.500,-1.500
SF,Taurean Prince,3000,Atl@Chi 08:00PM ET,7.894,ATL,0,0,8.250,2.446,4.125,0.000,8.000,18.000,1.000,202.500,-1.500
SF,Denzel Valentine,3000,Atl@Chi 08:00PM ET,7.611,CHI,1,0,7.607,2.922,15.125,0.000,24.000,18.000,27.000,202.500,1.500
SF,DeAndre' Bembry,3000,Atl@Chi 08:00PM ET,4.618,ATL,0,0,7.357,2.125,6.125,0.000,8.000,18.000,4.000,202.500,-1.500
PF/C,Mike Muscala,3000,Atl@Chi 08:00PM ET,16.594,ATL,0,1,15.536,9.344,11.375,0.000,13.750,18.000,0.000,202.500,-1.500
PF,Mike Scott,3000,Atl@Chi 08:00PM ET,7.077,ATL,0,0,8.250,0.700,4.188,0.000,17.500,18.000,-0.500,202.500,-1.500
PF,Bobby Portis,3000,Atl@Chi 08:00PM ET,9.858,CHI,1,0,7.643,5.361,10.375,0.000,19.000,18.000,20.250,202.500,1.500
C,Cristiano Felicio,3000,Atl@Chi 08:00PM ET,12.651,CHI,1,0,18.286,6.737,14.812,0.000,4.000,18.000,26.000,202.500,1.500
PG,Brian Roberts,3000,GS@Cha 08:00PM ET,3.229,CHA,1,1,2.500,0.542,2.375,0.000,17.000,18.000,5.250,223.500,10.000
SG/SF,Patrick McCaw,3000,GS@Cha 08:00PM ET,6.329,GS,0,0,4.786,2.750,7.625,0.000,21.000,18.000,3.500,223.500,-10.000
SF,Treveon Graham,3000,GS@Cha 08:00PM ET,3.232,CHA,1,0,3.357,0.929,2.125,0.000,9.000,18.000,3.250,223.500,10.000
PF,David West,3000,GS@Cha 08:00PM ET,12.405,GS,0,1,17.000,7.287,12.250,0.000,11.000,18.000,15.750,223.500,-10.000
PF,James Michael McAdoo,3000,GS@Cha 08:00PM ET,3.097,GS,0,0,3.107,1.229,3.312,0.000,11.000,18.000,2.000,223.500,-10.000
PF,Kevon Looney,3000,GS@Cha 08:00PM ET,7.735,GS,0,0,7.607,2.797,5.562,0.000,11.000,18.000,3.750,223.500,-10.000
C,Anderson Varejao,3000,GS@Cha 08:00PM ET,5.295,GS,0,0,6.667,2.500,3.312,0.000,25.000,18.000,0.000,223.500,-10.000
C,Roy Hibbert,3000,GS@Cha 08:00PM ET,12.730,CHA,1,0,10.357,7.952,11.500,0.000,24.000,18.000,7.000,223.500,10.000
C,JaVale McGee,3000,GS@Cha 08:00PM ET,10.500,GS,0,0,12.607,4.841,14.000,0.000,25.000,18.000,19.750,223.500,-10.000
PG,Fred VanVleet,3000,Tor@Mem 08:00PM ET,5.217,TOR,0,0,9.333,1.550,8.375,0.000,6.500,18.000,0.000,200.500,6.000
PG,Wade Baldwin IV,3000,Tor@Mem 08:00PM ET,9.402,MEM,1,0,9.214,3.327,3.125,0.000,13.500,18.000,6.250,200.500,-6.000
SG,Troy Daniels,3000,Tor@Mem 08:00PM ET,14.159,MEM,1,1,11.643,5.368,6.188,0.000,2.000,18.000,-0.500,200.500,-6.000
SG,Troy Williams,3000,Tor@Mem 08:00PM ET,10.720,MEM,1,0,12.964,2.729,4.188,0.000,2.000,18.000,0.000,200.500,-6.000
PF/C,Jarell Martin,3000,Tor@Mem 08:00PM ET,9.944,MEM,1,0,6.464,4.286,4.438,0.000,14.750,18.000,2.750,200.500,-6.000
PF,Jared Sullinger,3000,Tor@Mem 08:00PM ET,10.750,TOR,0,0,10.625,7.000,10.750,1.075,4.000,18.000,4.500,200.500,6.000
PF,Pascal Siakam,3000,Tor@Mem 08:00PM ET,12.013,TOR,0,0,11.179,6.400,11.688,0.000,4.000,18.000,14.500,200.500,6.000
PF,Deyonta Davis,3000,Tor@Mem 08:00PM ET,5.533,MEM,1,0,4.893,2.036,4.000,0.000,22.000,18.000,2.500,200.500,-6.000
C,Jakob Poeltl,3000,Tor@Mem 08:00PM ET,6.890,TOR,0,0,6.536,3.054,3.688,0.000,1.000,18.000,6.500,200.500,6.000
PG,Kay Felder,3000,Sac@Cle 07:00PM ET,9.375,CLE,1,0,10.179,4.150,5.375,0.000,21.500,18.000,2.000,216.000,-12.000
SG,James Jones,3000,Sac@Cle 07:00PM ET,4.971,CLE,1,0,5.821,1.422,7.312,0.000,25.000,18.000,20.000,216.000,-12.000
SG,Arron Afflalo,3000,Sac@Cle 07:00PM ET,12.635,SAC,0,0,14.286,7.028,16.375,0.000,28.500,18.000,12.500,216.000,12.000
SG,DeAndre Liggins,3000,Sac@Cle 07:00PM ET,8.986,CLE,1,0,8.964,3.312,6.000,0.000,25.000,18.000,2.750,216.000,-12.000
SG,Jordan McRae,3000,Sac@Cle 07:00PM ET,7.929,CLE,1,0,10.071,2.683,3.062,0.000,25.000,18.000,0.000,216.000,-12.000
SG,Ben McLemore,3000,Sac@Cle 07:00PM ET,8.485,SAC,0,0,9.929,2.554,1.312,0.000,28.500,18.000,3.500,216.000,12.000
SG,Malachi Richardson,3000,Sac@Cle 07:00PM ET,5.139,SAC,0,0,5.357,1.450,4.438,0.000,28.500,18.000,8.500,216.000,12.000
SF/PF,Richard Jefferson,3000,Sac@Cle 07:00PM ET,10.105,CLE,1,0,13.036,6.115,10.812,0.000,16.750,18.000,7.500,216.000,-12.000
PF,Skal Labissiere,3000,Sac@Cle 07:00PM ET,5.450,SAC,0,0,5.812,2.250,3.875,0.000,15.500,18.000,8.750,216.000,12.000
C,Chris Andersen,3000,Sac@Cle 07:00PM ET,7.979,CLE,1,1,8.714,4.607,8.312,0.000,11.000,18.000,11.000,216.000,-12.000
C,Kosta Koufos,3000,Sac@Cle 07:00PM ET,15.795,SAC,0,0,17.143,10.406,15.062,0.000,6.000,18.000,9.250,216.000,12.000
C,Willie Cauley-Stein,3000,Sac@Cle 07:00PM ET,8.919,SAC,0,0,10.214,3.587,12.000,0.000,6.000,18.000,22.250,216.000,12.000
PG/SG,Devin Harris,3000,NY@Dal 08:30PM ET,11.214,DAL,1,0,16.286,5.383,13.125,0.000,19.250,18.000,15.000,204.000,-3.000
PG/SG,Ron Baker,3000,NY@Dal 08:30PM ET,8.738,NY,0,0,10.500,3.727,10.438,0.000,2.500,18.000,10.750,204.000,3.000
PG,Pierre Jackson,3000,NY@Dal 08:30PM ET,6.929,DAL,1,0,6.950,0.375,5.500,0.000,15.000,18.000,22.500,204.000,-3.000
SG,Sasha Vujacic,3000,NY@Dal 08:30PM ET,5.728,NY,0,0,5.393,1.000,8.875,0.000,4.000,18.000,13.000,204.000,3.000
SG,Nicolas Brussino,3000,NY@Dal 08:30PM ET,4.983,DAL,1,0,4.357,1.279,4.250,0.000,23.500,18.000,11.500,204.000,-3.000
SF/PF,Lance Thomas,3000,NY@Dal 08:30PM ET,9.150,NY,0,1,7.786,5.375,7.562,0.000,3.500,18.000,0.000,204.000,3.000
SF,Dorian Finney-Smith,3000,NY@Dal 08:30PM ET,11.227,DAL,1,0,10.500,6.170,9.625,0.000,14.500,18.000,17.750,204.000,-3.000
SF,Justin Anderson,3000,NY@Dal 08:30PM ET,13.613,DAL,1,0,11.214,7.000,8.062,0.000,14.500,18.000,30.250,204.000,-3.000
PF,Maurice Ndour,3000,NY@Dal 08:30PM ET,5.176,NY,0,0,5.071,2.714,5.000,0.000,3.000,18.000,6.750,204.000,3.000
C,Salah Mejri,3000,NY@Dal 08:30PM ET,10.859,DAL,1,0,8.143,5.091,9.688,0.000,26.000,18.000,11.250,204.000,-3.000
C,Marshall Plumlee,3000,NY@Dal 08:30PM ET,7.900,NY,0,0,11.667,1.500,9.562,0.000,9.000,18.000,3.250,204.000,3.000
C,A.J. Hammons,3000,NY@Dal 08:30PM ET,3.794,DAL,1,0,4.571,1.750,3.875,0.000,26.000,18.000,2.000,204.000,-3.000
PG,Semaj Christon,3000,OKC@NO 08:00PM ET,9.081,OKC,0,0,10.429,4.809,10.312,0.000,27.000,18.000,3.500,217.500,-1.500
PG,Cameron Payne,3000,OKC@NO 08:00PM ET,10.750,OKC,0,0,11.667,6.583,12.250,0.000,27.000,18.000,6.750,217.500,-1.500
SG/SF,Alex Abrines,3000,OKC@NO 08:00PM ET,9.178,OKC,0,0,8.357,4.488,9.750,0.000,20.750,18.000,6.000,217.500,-1.500
SG,Anthony Morrow,3000,OKC@NO 08:00PM ET,8.484,OKC,0,0,5.750,3.559,3.625,0.000,18.500,18.000,3.500,217.500,-1.500
SF,Kyle Singler,3000,OKC@NO 08:00PM ET,4.261,OKC,0,0,3.464,1.386,4.312,0.000,23.000,18.000,8.000,217.500,-1.500
PF/C,Joffrey Lauvergne,3000,OKC@NO 08:00PM ET,11.875,OKC,0,0,7.036,5.950,9.250,0.000,22.250,18.000,0.750,217.500,-1.500
PF,Domantas Sabonis,3000,OKC@NO 08:00PM ET,13.983,OKC,0,0,13.143,8.924,11.875,0.000,26.500,18.000,6.250,217.500,-1.500
PF,Cheick Diallo,3000,OKC@NO 08:00PM ET,9.800,NO,1,0,5.000,2.450,6.500,0.000,17.500,18.000,0.000,217.500,1.500
C,Nick Collison,3000,OKC@NO 08:00PM ET,3.818,OKC,0,0,5.850,0.333,4.312,0.000,18.000,18.000,-0.500,217.500,-1.500
C,Alexis Ajinca,3000,OKC@NO 08:00PM ET,11.988,NO,1,0,11.714,5.909,7.750,0.000,14.000,18.000,2.750,217.500,1.500
C,Omer Asik,3000,OKC@NO 08:00PM ET,11.569,NO,1,0,13.607,6.721,5.438,0.000,14.000,18.000,1.250,217.500,1.500
PG,Jose Calderon,3000,LAL@Por 10:30PM ET,9.295,LAL,0,0,7.643,3.625,9.000,0.000,12.000,18.000,7.500,221.000,8.500
PG,Shabazz Napier,3000,LAL@Por 10:30PM ET,6.983,POR,1,0,7.143,2.484,3.938,0.000,28.000,18.000,0.000,221.000,-8.500
PG,Marcelo Huertas,3000,LAL@Por 10:30PM ET,8.075,LAL,0,0,11.286,4.125,4.438,0.000,12.000,18.000,3.000,221.000,8.500
PG,Tim Quarterman,3000,LAL@Por 10:30PM ET,3.250,POR,1,1,3.100,1.750,1.750,0.000,28.000,18.000,3.750,221.000,-8.500
SF,Metta World Peace,3000,LAL@Por 10:30PM ET,2.603,LAL,0,0,2.857,0.523,0.875,0.000,20.500,18.000,-0.500,221.000,8.500
SF,Pat Connaughton,3000,LAL@Por 10:30PM ET,3.345,POR,1,0,3.179,1.227,4.938,0.000,28.000,18.000,4.000,221.000,-8.500
PF/C,Meyers Leonard,3000,LAL@Por 10:30PM ET,12.169,POR,1,0,17.321,5.310,18.125,0.000,28.250,18.000,24.500,221.000,-8.500
PF,Thomas Robinson,3000,LAL@Por 10:30PM ET,11.485,LAL,0,0,16.107,4.653,3.062,0.000,29.000,18.000,3.750,221.000,8.500
PF,Jake Layman,3000,LAL@Por 10:30PM ET,4.348,POR,1,0,1.429,1.516,3.750,0.000,26.500,18.000,3.500,221.000,-8.500
PF,Noah Vonleh,3000,LAL@Por 10:30PM ET,9.421,POR,1,0,10.071,4.333,19.375,0.000,26.500,18.000,20.500,221.000,-8.500
C,Ed Davis,3000,LAL@Por 10:30PM ET,12.726,POR,1,1,12.500,6.714,10.125,0.000,30.000,18.000,11.000,221.000,-8.500
C,Ivica Zubac,3000,LAL@Por 10:30PM ET,9.115,LAL,0,0,6.321,1.857,17.062,0.000,28.000,18.000,10.000,221.000,8.500
