Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,penalty,Final,O/U,odds
Derrick Rose,6400,PG,NY,30.583,105,1,MIL,0,30.583,0.000,24.750,213.000,3.500
Courtney Lee,3800,SG,NY,19.026,105,1,MIL,0,19.026,0.000,23.500,213.000,3.500
Brandon Jennings,4300,PG/SG,NY,21.309,105,1,MIL,0,21.309,0.000,9.500,213.000,3.500
Joakim Noah,5000,C,NY,22.625,105,1,MIL,0,22.625,0.000,33.000,213.000,3.500
Justin Holiday,3900,PG/SG,NY,15.588,105,1,MIL,0,15.588,0.000,11.750,213.000,3.500
Lance Thomas,3100,SF/PF,NY,8.717,105,1,MIL,0,8.717,0.000,21.500,213.000,3.500
Kyle O'Quinn,3600,PF/C,NY,17.430,105,1,MIL,0,17.430,0.000,12.000,213.000,3.500
Mindaugas Kuzminskas,3000,SF,NY,8.670,105,1,MIL,0,8.670,0.000,28.000,213.000,3.500
Marshall Plumlee,3000,C,NY,5.000,105,1,MIL,0,5.000,0.000,0.000,213.000,3.500
Ron Baker,3000,SG,NY,6.727,105,1,MIL,0,6.727,0.000,0.000,213.000,3.500
Sasha Vujacic,3000,SG,NY,5.202,105,1,MIL,0,5.202,0.000,0.000,213.000,3.500
Maurice Ndour,3000,PF,NY,5.067,105,1,MIL,0,5.067,0.000,0.000,213.000,3.500
Nicolas Batum,8000,SG/SF,CHA,36.632,104,1,OKC,0,35.632,0.000,37.250,208.500,-2.000
Kemba Walker,8200,PG,CHA,39.897,104,1,OKC,0,39.897,0.000,41.500,208.500,-2.000
Michael Kidd-Gilchrist,4800,SF,CHA,22.824,104,1,OKC,0,22.824,0.000,30.750,208.500,-2.000
Marvin Williams,4200,PF,CHA,21.198,104,1,OKC,0,21.198,0.000,25.500,208.500,-2.000
Frank Kaminsky,4300,PF,CHA,21.182,104,1,OKC,0,21.182,0.000,33.500,208.500,-2.000
Jeremy Lamb,4100,SG/SF,CHA,18.323,104,1,OKC,0,18.323,0.000,19.250,208.500,-2.000
Ramon Sessions,3400,PG,CHA,13.543,104,1,OKC,0,13.543,0.000,16.000,208.500,-2.000
Spencer Hawes,3500,PF/C,CHA,15.320,104,1,OKC,0,15.320,0.000,24.500,208.500,-2.000
Roy Hibbert,3000,C,CHA,12.647,104,1,OKC,0,12.647,0.000,11.500,208.500,-2.000
Treveon Graham,3000,SF,CHA,4.219,104,1,OKC,0,4.219,0.000,0.000,208.500,-2.000
Brian Roberts,3000,PG,CHA,3.194,104,1,OKC,0,3.194,0.000,0.000,208.500,-2.000
Aaron Harrison,3000,PG,CHA,1.850,104,1,OKC,0,1.850,0.000,0.000,208.500,-2.000
Christian Wood,3000,PF,CHA,2.500,104,1,OKC,0,2.500,0.000,0.000,208.500,-2.000
Tristan Thompson,4500,C,CLE,24.015,103,1,CHI,0,24.015,0.000,18.250,204.000,-4.000
Iman Shumpert,3600,PG/SG,CLE,15.672,103,1,CHI,0,15.672,0.000,10.250,204.000,-4.000
Richard Jefferson,3500,SF/PF,CLE,10.727,103,1,CHI,0,10.727,0.000,9.250,204.000,-4.000
Channing Frye,3600,PF/C,CLE,16.731,103,1,CHI,0,16.731,0.000,24.750,204.000,-4.000
DeAndre Liggins,3000,SG,CLE,8.770,103,1,CHI,0,8.770,0.000,9.250,204.000,-4.000
Kay Felder,3200,PG,CLE,11.125,103,1,CHI,0,11.125,0.000,16.750,204.000,-4.000
Jordan McRae,4000,SG,CLE,8.321,103,1,CHI,0,8.321,0.000,31.250,204.000,-4.000
James Jones,3000,SG,CLE,4.513,103,1,CHI,0,4.513,0.000,9.750,204.000,-4.000
Paul Millsap,7600,PF,ATL,38.444,102,0,ORL,0,38.444,0.000,36.000,207.000,-2.000
Dennis Schroder,6600,PG,ATL,32.007,102,0,ORL,0,32.007,0.000,36.500,207.000,-2.000
Dwight Howard,7300,C,ATL,36.925,102,0,ORL,0,36.925,0.000,35.000,207.000,-2.000
Kyle Korver,4200,SG,ATL,19.105,102,0,ORL,0,19.105,0.000,20.250,207.000,-2.000
Kent Bazemore,4300,SG/SF,ATL,21.703,102,0,ORL,0,21.703,0.000,28.500,207.000,-2.000
Thabo Sefolosha,4000,SF,ATL,20.863,102,0,ORL,0,20.863,0.000,17.750,207.000,-2.000
Mike Muscala,3300,PF/C,ATL,17.191,102,0,ORL,0,17.191,0.000,12.750,207.000,-2.000
Malcolm Delaney,3000,PG,ATL,11.772,102,0,ORL,0,11.772,0.000,17.250,207.000,-2.000
Mike Scott,3000,PF,ATL,9.679,102,0,ORL,0,9.679,0.000,0.000,207.000,-2.000
Kris Humphries,3100,C,ATL,10.210,102,0,ORL,0,10.210,0.000,8.000,207.000,-2.000
DeAndre' Bembry,3000,SF,ATL,4.136,102,0,ORL,0,4.136,0.000,1.250,207.000,-2.000
Giannis Antetokounmpo,10400,PG,MIL,51.379,105,0,NY,0,53.379,0.000,57.750,213.000,-3.500
Jabari Parker,7200,SF/PF,MIL,34.000,105,0,NY,0,34.000,0.000,26.500,213.000,-3.500
Tony Snell,3600,SG/SF,MIL,16.742,105,0,NY,0,16.742,0.000,7.750,213.000,-3.500
Malcolm Brogdon,5300,PG/SG,MIL,18.894,105,0,NY,0,18.894,0.000,31.500,213.000,-3.500
John Henson,3800,C,MIL,18.903,105,0,NY,0,18.903,0.000,4.500,213.000,-3.500
Greg Monroe,4800,C,MIL,24.680,105,0,NY,0,26.680,0.000,41.750,213.000,-3.500
Mirza Teletovic,3000,PF,MIL,13.973,105,0,NY,0,13.973,0.000,14.750,213.000,-3.500
Jason Terry,3000,PG,MIL,7.723,105,0,NY,0,7.723,0.000,16.750,213.000,-3.500
