Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,penalty,Final,O/U,odds
Tony Parker,4800,PG,SA,20.440,104,1,TOR,0,0.000,29.500,206.000,-6.000
Patty Mills,3700,PG,SA,20.176,104,1,TOR,0,0.000,16.750,206.000,-6.000
Manu Ginobili,4000,SG,SA,18.643,104,1,TOR,0,0.000,8.250,206.000,-6.000
Jonathon Simmons,3800,SG/SF,SA,13.103,104,1,TOR,0,0.000,18.000,206.000,-6.000
David Lee,3600,PF,SA,16.265,104,1,TOR,0,0.000,18.500,206.000,-6.000
Dewayne Dedmon,3500,C,SA,14.545,104,1,TOR,0,0.000,12.500,206.000,-6.000
Kyle Anderson,3200,SG,SA,9.300,104,1,TOR,0,0.000,5.750,206.000,-6.000
Davis Bertans,3000,SF/PF,SA,5.981,104,1,TOR,0,0.000,13.000,206.000,-6.000
Dejounte Murray,3000,PG,SA,4.453,104,1,TOR,0,0.000,8.500,206.000,-6.000
Bryn Forbes,3000,PG,SA,1.462,104,1,TOR,0,0.000,0.000,206.000,-6.000
Zach LaVine,6600,SG,MIN,31.795,103,0,PHI,0,0.000,38.500,205.500,-4.500
Andrew Wiggins,7200,SF,MIN,32.721,103,0,PHI,0,0.000,17.500,205.500,-4.500
Karl-Anthony Towns,9900,PF/C,MIN,44.566,103,0,PHI,0,0.000,55.000,205.500,-4.500
Gorgui Dieng,5700,PF/C,MIN,27.294,103,0,PHI,0,0.000,28.500,205.500,-4.500
Ricky Rubio,5800,PG,MIN,26.017,103,0,PHI,0,0.000,19.250,205.500,-4.500
Shabazz Muhammad,3200,SG/SF,MIN,11.968,103,0,PHI,0,0.000,17.750,205.500,-4.500
Kris Dunn,3200,PG,MIN,13.154,103,0,PHI,0,0.000,6.500,205.500,-4.500
Nemanja Bjelica,3000,SF/PF,MIN,13.398,103,0,PHI,0,0.000,13.250,205.500,-4.500
Cole Aldrich,3400,C,MIN,10.158,103,0,PHI,0,0.000,6.000,205.500,-4.500
Brandon Rush,3000,SG,MIN,4.773,103,0,PHI,0,0.000,0.000,205.500,-4.500
Tyus Jones,3000,PG,MIN,9.000,103,0,PHI,0,0.000,0.000,205.500,-4.500
Adreian Payne,3000,PF,MIN,9.000,103,0,PHI,0,0.000,0.000,205.500,-4.500
Jordan Hill,3000,PF,MIN,5.350,103,0,PHI,0,0.000,0.000,205.500,-4.500
John Lucas III,3000,PG,MIN,1.500,103,0,PHI,0,0.000,0.000,205.500,-4.500
Gordon Hayward,8000,SF,UTA,38.491,100,0,BOS,0,0.000,30.500,200.000,5.500
Rudy Gobert,7300,C,UTA,35.721,100,0,BOS,0,0.000,25.750,200.000,5.500
Rodney Hood,4800,SG,UTA,23.692,100,0,BOS,0,0.000,18.750,200.000,5.500
Shelvin Mack,4900,PG,UTA,17.193,100,0,BOS,0,0.000,17.250,200.000,5.500
Joe Johnson,3100,SG/SF,UTA,15.921,100,0,BOS,0,0.000,31.250,200.000,5.500
Derrick Favors,4900,PF/C,UTA,19.838,100,0,BOS,0,0.000,29.500,200.000,5.500
Trey Lyles,3400,PF,UTA,17.500,100,0,BOS,0,0.000,6.000,200.000,5.500
Boris Diaw,3000,PF/C,UTA,10.981,100,0,BOS,0,0.000,17.500,200.000,5.500
Joe Ingles,4000,SG/SF,UTA,14.721,100,0,BOS,0,0.000,20.750,200.000,5.500
Jeff Withey,3000,C,UTA,7.948,100,0,BOS,0,0.000,0.000,200.000,5.500
Raul Neto,3000,PG,UTA,5.329,100,0,BOS,0,0.000,11.500,200.000,5.500
Alec Burks,3000,SG,UTA,-0.500,100,0,BOS,0,0.000,0.000,200.000,5.500
Joel Bolomboy,3000,PF,UTA,2.833,100,0,BOS,0,0.000,0.000,200.000,5.500
Ersan Ilyasova,5300,PF,PHI,26.352,103,1,MIN,0,0.000,29.250,205.500,4.500
